Sample Count,Green1 Count,Green2 Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),HR Confidence (%),Activity
1,69210,108508,-0.888,0.334,-0.359,60,0,OTHER
2,204936,208570,-0.885,0.327,-0.37,60,0,OTHER
3,223792,191018,-0.888,0.319,-0.382,60,0,OTHER
4,192088,162799,-0.895,0.315,-0.378,60,0,OTHER
5,171890,146883,-0.904,0.309,-0.351,60,0,OTHER
6,166577,143766,-0.908,0.305,-0.317,60,0,OTHER
7,166246,145089,-0.907,0.306,-0.289,60,0,OTHER
8,165664,146112,-0.905,0.309,-0.261,60,0,OTHER
9,164960,147008,-0.905,0.314,-0.252,60,0,OTHER
10,164558,147010,-0.909,0.32,-0.265,60,0,OTHER
11,164442,146608,-0.912,0.322,-0.268,60,0,OTHER
12,164604,146244,-0.912,0.321,-0.256,60,0,OTHER
13,164892,145739,-0.909,0.321,-0.253,60,0,OTHER
14,165198,144858,-0.907,0.322,-0.257,60,0,OTHER
15,165192,144826,-0.923,0.32,-0.269,60,0,OTHER
16,165215,145002,-0.928,0.322,-0.256,60,0,OTHER
17,164995,145198,-0.916,0.334,-0.235,60,0,OTHER
18,164787,145060,-0.912,0.346,-0.24,60,0,OTHER
19,164698,145005,-0.911,0.35,-0.239,60,0,OTHER
20,164582,145073,-0.911,0.345,-0.226,60,0,OTHER
21,164347,145083,-0.912,0.341,-0.212,60,0,OTHER
22,164027,145001,-0.914,0.342,-0.206,60,0,OTHER
23,163773,144780,-0.914,0.344,-0.21,60,0,OTHER
24,163634,144469,-0.915,0.347,-0.216,60,0,OTHER
25,163597,144248,-0.919,0.348,-0.216,60,0,OTHER
26,163528,144176,-0.92,0.346,-0.213,60,0,OTHER
27,163398,144193,-0.92,0.343,-0.21,60,0,OTHER
28,163298,144203,-0.918,0.343,-0.213,60,0,OTHER
29,163210,144122,-0.915,0.345,-0.217,60,0,OTHER
30,163181,143975,-0.912,0.35,-0.22,60,0,OTHER
31,163146,143753,-0.912,0.352,-0.221,60,0,OTHER
32,162931,143430,-0.913,0.35,-0.22,60,0,OTHER
33,162680,143158,-0.916,0.349,-0.218,60,0,OTHER
34,162431,142919,-0.916,0.349,-0.22,60,0,OTHER
35,162273,142654,-0.913,0.35,-0.224,60,0,OTHER
36,162129,142390,-0.912,0.35,-0.225,60,0,OTHER
37,162002,142243,-0.912,0.347,-0.225,60,0,OTHER
38,161901,142123,-0.912,0.346,-0.226,60,0,OTHER
39,161785,142000,-0.912,0.349,-0.227,60,0,OTHER
40,161685,141902,-0.912,0.351,-0.228,60,0,OTHER
41,161591,141732,-0.911,0.353,-0.23,60,0,OTHER
42,161495,141489,-0.91,0.353,-0.23,60,0,OTHER
43,161451,141299,-0.91,0.351,-0.23,60,0,OTHER
44,161438,141161,-0.91,0.348,-0.232,60,0,OTHER
45,161429,141092,-0.91,0.349,-0.233,60,0,REST
46,161403,141027,-0.91,0.351,-0.232,60,0,REST
47,161371,140971,-0.91,0.353,-0.234,60,0,REST
48,161381,140885,-0.91,0.354,-0.235,60,0,REST
49,161313,140776,-0.909,0.352,-0.235,60,0,REST
50,161129,140559,-0.909,0.351,-0.234,60,0,REST
51,160788,140335,-0.91,0.35,-0.233,60,0,REST
52,160429,140113,-0.909,0.35,-0.233,60,0,REST
53,160118,139925,-0.909,0.351,-0.234,60,0,REST
54,159850,139731,-0.908,0.353,-0.235,60,0,REST
55,159624,139554,-0.908,0.354,-0.235,60,0,REST
56,159427,139366,-0.908,0.354,-0.236,60,0,REST
57,159231,139245,-0.909,0.352,-0.236,60,0,REST
58,159015,139118,-0.909,0.35,-0.236,60,0,REST
59,158816,138961,-0.908,0.351,-0.236,59,0,REST
60,158656,138820,-0.908,0.353,-0.237,59,0,REST
