Sample Count,Green1 Count,Green2 Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),HR Confidence (%),Activity
1,107381,106987,-0.519,-0.006,0.846,60,0,OTHER
2,164268,189022,-0.52,-0.011,0.849,60,0,OTHER
3,164277,189156,-0.519,-0.011,0.85,60,0,OTHER
4,164343,189209,-0.52,-0.013,0.852,60,0,OTHER
5,164341,189282,-0.52,-0.012,0.853,60,0,OTHER
6,164461,189432,-0.52,-0.009,0.852,60,0,OTHER
7,164657,189639,-0.52,-0.008,0.85,60,0,OTHER
8,164805,189770,-0.518,-0.008,0.85,60,0,OTHER
9,164906,189890,-0.517,-0.008,0.851,60,0,OTHER
10,165048,190096,-0.516,-0.007,0.852,60,0,OTHER
11,165259,190346,-0.516,-0.005,0.854,60,0,OTHER
12,165345,190391,-0.516,-0.005,0.854,60,0,OTHER
13,164986,189972,-0.516,-0.006,0.855,60,0,OTHER
14,164436,189366,-0.515,-0.007,0.856,60,0,OTHER
15,164053,188898,-0.514,-0.006,0.856,60,0,OTHER
16,163769,188479,-0.513,-0.004,0.856,60,0,OTHER
17,163487,188098,-0.513,-0.003,0.856,60,0,OTHER
18,163216,187757,-0.514,-0.002,0.857,60,0,OTHER
19,163102,187552,-0.513,-0.001,0.858,60,0,OTHER
20,163083,187430,-0.512,-0.001,0.858,60,0,OTHER
21,162979,187275,-0.512,-0.001,0.859,60,0,OTHER
22,162949,187172,-0.512,-0.002,0.859,60,0,OTHER
23,162886,187090,-0.512,-0.001,0.86,60,0,OTHER
24,162946,187072,-0.512,0.0,0.859,60,0,OTHER
25,162986,187121,-0.512,0.0,0.86,60,0,OTHER
26,163169,187234,-0.512,0.0,0.861,60,0,OTHER
27,163277,187346,-0.511,0.0,0.861,60,0,OTHER
28,163394,187473,-0.511,0.0,0.86,60,0,OTHER
29,163594,187689,-0.511,0.0,0.86,60,0,OTHER
30,163744,187893,-0.511,0.0,0.861,60,0,OTHER
31,163865,188002,-0.511,0.0,0.861,60,0,OTHER
32,164030,188184,-0.511,0.001,0.861,60,0,OTHER
33,164203,188396,-0.511,0.0,0.861,60,0,OTHER
34,164119,188278,-0.511,0.0,0.861,60,0,OTHER
35,163611,187701,-0.511,0.0,0.861,60,0,OTHER
36,163067,187056,-0.511,0.0,0.862,60,0,OTHER
37,162683,186584,-0.511,0.0,0.861,60,0,OTHER
38,162324,186130,-0.512,0.0,0.86,60,0,OTHER
39,162051,185798,-0.512,0.0,0.859,60,0,OTHER
40,161873,185577,-0.511,0.0,0.86,60,0,OTHER
41,161785,185476,-0.511,0.0,0.861,60,0,OTHER
42,161701,185288,-0.512,0.0,0.86,60,0,OTHER
43,161657,185236,-0.512,-0.001,0.86,60,0,OTHER
44,161580,185128,-0.512,-0.002,0.861,60,0,OTHER
45,161497,184991,-0.512,-0.001,0.861,60,0,REST
46,161489,184907,-0.513,0.0,0.86,60,0,REST
47,161518,184911,-0.513,0.0,0.858,60,0,REST
48,161609,184986,-0.514,0.0,0.858,60,0,REST
49,161660,185076,-0.514,0.0,0.856,60,0,REST
50,161726,185185,-0.515,0.0,0.856,60,0,REST
51,161877,185366,-0.515,0.0,0.855,60,0,REST
52,162016,185603,-0.515,0.0,0.855,60,0,REST
53,162207,185885,-0.515,0.0,0.856,60,0,REST
54,162337,186026,-0.515,-0.001,0.857,60,0,REST
55,162394,186103,-0.515,0.0,0.857,60,0,REST
56,162401,186056,-0.515,0.0,0.856,60,0,REST
57,161988,185584,-0.515,-0.001,0.855,60,0,REST
58,161307,184898,-0.514,-0.004,0.857,60,0,REST
59,160822,184404,-0.515,-0.004,0.859,60,0,REST
60,160482,184000,-0.517,0.0,0.859,60,0,REST
61,160236,183633,-0.52,0.005,0.854,60,0,REST
62,159989,183332,-0.52,0.008,0.849,60,0,REST
63,159827,183139,-0.518,0.007,0.849,60,0,REST
64,159648,182906,-0.517,0.007,0.849,60,0,REST
65,159467,182602,-0.515,0.005,0.849,60,0,REST
66,159345,182434,-0.517,0.003,0.852,60,0,REST
67,159324,182410,-0.52,0.001,0.855,60,0,REST
68,159370,182476,-0.524,0.001,0.852,60,0,REST
69,159527,182633,-0.526,0.002,0.849,60,0,REST
70,159647,182764,-0.527,0.003,0.845,60,0,REST
71,159748,182961,-0.528,0.004,0.84,60,0,REST
72,159976,183287,-0.529,0.004,0.838,60,0,REST
73,160191,183609,-0.529,0.003,0.84,60,0,REST
