Sample Count,Green1 Count,Green2 Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),HR Confidence (%),Activity
1,107309,107015,-0.279,0.248,0.916,60,0,OTHER
2,193538,172239,-0.277,0.24,0.929,60,0,OTHER
3,176219,155679,-0.271,0.235,0.94,60,0,OTHER
4,171434,151493,-0.268,0.233,0.94,60,0,OTHER
5,166364,147070,-0.266,0.235,0.931,60,0,OTHER
6,166265,147011,-0.264,0.237,0.926,60,0,OTHER
7,166180,146957,-0.264,0.239,0.922,60,0,OTHER
8,166120,146910,-0.265,0.242,0.918,60,0,OTHER
9,166075,146853,-0.268,0.242,0.92,60,0,OTHER
10,166034,146818,-0.272,0.24,0.926,60,0,OTHER
11,165994,146759,-0.276,0.238,0.928,60,0,OTHER
12,165979,146708,-0.277,0.238,0.928,60,0,OTHER
13,165956,146651,-0.273,0.239,0.925,60,0,OTHER
14,165965,146602,-0.271,0.24,0.921,60,0,OTHER
15,165982,146534,-0.272,0.239,0.922,60,0,OTHER
16,166001,146495,-0.272,0.238,0.924,60,0,OTHER
17,166005,146453,-0.272,0.239,0.924,60,0,OTHER
18,166006,146398,-0.272,0.242,0.924,60,0,OTHER
19,165912,146289,-0.272,0.243,0.926,60,0,OTHER
20,165751,146150,-0.275,0.242,0.928,60,0,OTHER
21,165624,146019,-0.279,0.24,0.927,60,0,OTHER
22,165541,145907,-0.28,0.239,0.924,60,0,OTHER
23,165456,145809,-0.278,0.24,0.921,60,0,OTHER
24,165415,145708,-0.277,0.242,0.921,60,0,OTHER
25,165387,145639,-0.276,0.243,0.922,60,0,OTHER
26,165345,145543,-0.275,0.244,0.924,60,0,OTHER
27,165285,145522,-0.274,0.244,0.926,60,0,OTHER
28,165222,145472,-0.275,0.243,0.924,60,0,OTHER
29,165189,145432,-0.276,0.242,0.921,60,0,OTHER
30,165167,145381,-0.277,0.243,0.92,60,0,OTHER
31,165160,145334,-0.278,0.244,0.919,60,0,OTHER
