Sample Count,Green1 Count,Green2 Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),HR Confidence (%),Activity
1,107319,106960,-0.523,-0.455,0.507,60,0,OTHER
2,232694,231660,-0.647,-0.48,0.328,60,0,OTHER
3,221617,219863,-0.775,-0.487,0.256,60,0,OTHER
4,187140,186563,-0.884,-0.498,0.157,60,0,OTHER
5,175493,175444,-0.941,-0.502,0.075,60,0,OTHER
6,172849,173021,-0.965,-0.494,0.014,60,0,OTHER
7,169324,169619,-0.981,-0.479,-0.051,60,0,OTHER
8,165045,165354,-0.987,-0.464,-0.123,60,0,OTHER
9,165017,165585,-0.967,-0.453,-0.18,60,0,OTHER
10,165452,166250,-0.935,-0.441,-0.214,60,0,OTHER
11,165846,166906,-0.907,-0.432,-0.241,60,0,OTHER
12,165883,166895,-0.876,-0.426,-0.264,60,0,OTHER
13,165129,165406,-0.863,-0.416,-0.272,60,0,OTHER
14,164349,163940,-0.868,-0.403,-0.267,60,0,OTHER
15,163748,162822,-0.877,-0.392,-0.262,60,0,OTHER
16,163123,161830,-0.892,-0.385,-0.242,60,0,OTHER
17,162803,161848,-0.911,-0.38,-0.211,60,0,OTHER
18,162797,162108,-0.924,-0.378,-0.2,60,0,OTHER
19,162472,162010,-0.926,-0.38,-0.204,60,0,OTHER
20,161630,161110,-0.919,-0.383,-0.204,60,0,OTHER
21,160720,159854,-0.894,-0.384,-0.202,60,0,OTHER
22,159998,158956,-0.862,-0.382,-0.207,60,0,OTHER
23,159853,158569,-0.826,-0.371,-0.218,60,0,OTHER
24,160870,158696,-0.807,-0.347,-0.243,60,0,OTHER
25,160732,158044,-0.86,-0.323,-0.299,60,0,OTHER
26,160377,157516,-0.911,-0.293,-0.33,60,0,OTHER
27,159718,157142,-0.923,-0.245,-0.299,60,0,OTHER
28,160669,161369,-0.944,-0.198,-0.254,60,0,OTHER
29,161965,165943,-0.941,-0.155,-0.198,60,0,OTHER
30,163466,165022,-0.903,-0.106,-0.129,60,0,OTHER
31,165657,166534,-0.953,-0.084,-0.081,60,0,OTHER
32,162884,164368,-1.111,-0.088,-0.076,60,0,OTHER
33,162253,164294,-1.138,-0.084,-0.087,60,0,OTHER
34,162669,164822,-1.057,-0.066,-0.127,60,0,OTHER
35,163024,165412,-1.02,-0.036,-0.204,60,0,OTHER
36,163768,166572,-1.004,-0.014,-0.264,60,0,OTHER
37,163123,165282,-0.995,-0.007,-0.294,60,0,OTHER
