Sample Count,Green1 Count,Green2 Count,Acceleration X (g),Acceleration Y (g),Acceleration Z (g),Heart Rate (bpm),HR Confidence (%),Activity
0,153273,83869,0.376,0.377,0.859,60,0,OTHER
1,107270,107046,0.373,0.378,0.854,60,0,OTHER
2,119594,97958,0.376,0.383,0.843,60,0,OTHER
3,127612,89489,0.383,0.383,0.84,60,0,OTHER
4,144408,101223,0.391,0.383,0.839,60,0,OTHER
5,149442,104731,0.396,0.384,0.838,60,0,OTHER
6,154209,108069,0.392,0.385,0.839,60,0,OTHER
7,158230,110853,0.382,0.38,0.841,60,0,OTHER
8,162603,114230,0.373,0.363,0.847,60,0,OTHER
9,159912,114227,0.37,0.343,0.856,60,0,OTHER
10,161522,114688,0.368,0.331,0.866,60,0,OTHER
11,163485,115549,0.368,0.33,0.869,60,0,OTHER
12,163266,115647,0.371,0.338,0.863,60,0,OTHER
13,163186,115695,0.384,0.345,0.853,60,0,OTHER
14,162697,116112,0.4,0.351,0.846,60,0,OTHER
15,163477,117181,0.401,0.358,0.844,60,0,OTHER
16,164842,118571,0.39,0.358,0.848,60,0,OTHER
17,165348,119301,0.38,0.351,0.858,60,0,OTHER
18,164416,118389,0.373,0.342,0.861,60,0,OTHER
19,163165,117519,0.368,0.331,0.857,60,0,OTHER
20,161743,116728,0.37,0.327,0.858,60,0,OTHER
21,159316,115475,0.373,0.326,0.863,60,0,OTHER
22,157938,114771,0.373,0.32,0.865,60,0,OTHER
23,157733,113592,0.374,0.31,0.871,60,0,OTHER
24,157603,111422,0.376,0.302,0.877,60,0,OTHER
25,156985,109196,0.374,0.297,0.875,60,0,OTHER
26,155923,107393,0.372,0.291,0.873,60,0,OTHER
27,155277,106465,0.376,0.288,0.871,60,0,OTHER
28,155859,106505,0.389,0.287,0.866,60,0,OTHER
29,156832,106704,0.4,0.291,0.864,60,0,OTHER
30,157770,107022,0.402,0.297,0.866,60,0,OTHER
31,158360,107419,0.396,0.298,0.868,60,0,OTHER
32,159010,107871,0.398,0.291,0.869,60,0,OTHER
33,159588,108203,0.402,0.282,0.87,60,0,OTHER
34,159937,108399,0.397,0.285,0.868,60,0,OTHER
35,160216,108660,0.392,0.294,0.864,60,0,OTHER
36,160339,108842,0.394,0.301,0.863,60,0,OTHER
37,160284,108855,0.4,0.304,0.864,60,0,OTHER
38,160371,108943,0.405,0.304,0.865,60,0,OTHER
39,160403,108919,0.405,0.302,0.866,60,0,OTHER
40,160453,108835,0.402,0.3,0.866,60,0,OTHER
41,160378,108708,0.394,0.299,0.866,60,0,OTHER
42,160235,108611,0.39,0.3,0.865,60,0,OTHER
43,160302,108638,0.394,0.303,0.864,60,0,OTHER
44,160260,108539,0.397,0.306,0.863,60,0,OTHER
45,160024,108264,0.395,0.309,0.862,60,0,REST
46,159764,108145,0.397,0.308,0.864,60,0,REST
47,159589,107994,0.401,0.306,0.864,60,0,REST
48,159346,107794,0.402,0.305,0.863,60,0,REST
49,159225,107690,0.401,0.306,0.861,60,0,REST
50,159024,107517,0.403,0.308,0.86,60,0,REST
51,158773,107320,0.404,0.308,0.859,60,0,REST
52,158527,107116,0.406,0.308,0.859,60,0,REST
53,158342,106983,0.408,0.308,0.86,60,0,REST
54,158154,106874,0.408,0.309,0.859,60,0,REST
55,157984,106742,0.407,0.31,0.859,60,0,REST
56,157937,106664,0.408,0.31,0.859,60,0,REST
57,157808,106579,0.409,0.31,0.857,60,0,REST
58,157706,106505,0.408,0.311,0.856,60,0,REST
59,157639,106534,0.408,0.312,0.855,59,0,REST
60,157561,106529,0.408,0.313,0.855,59,0,REST
61,157449,106456,0.409,0.313,0.854,59,0,REST
62,157447,106466,0.413,0.311,0.856,59,0,REST
63,157372,106444,0.414,0.308,0.858,59,0,REST
64,157294,106451,0.413,0.308,0.858,59,0,REST
65,157270,106463,0.412,0.31,0.856,59,0,REST
66,157255,106497,0.412,0.313,0.854,59,0,REST
67,157117,106438,0.412,0.313,0.853,59,0,REST
68,156990,106407,0.413,0.312,0.854,59,0,REST
69,156936,106483,0.415,0.31,0.855,59,0,REST
70,156969,106544,0.415,0.309,0.857,59,0,REST
71,156969,106605,0.415,0.309,0.858,59,0,REST
72,156981,106659,0.416,0.308,0.859,59,0,REST
73,157054,106779,0.418,0.307,0.858,59,0,REST
74,157120,106982,0.417,0.307,0.856,59,0,REST
75,156996,106866,0.415,0.31,0.855,59,0,REST
76,156792,106785,0.414,0.31,0.856,59,0,REST
