timestamp,Green1 Count,Green2 Count
1,107319,106960
2,232694,231660
3,221617,219863
4,187140,186563
5,175493,175444
6,172849,173021
7,169324,169619
8,165045,165354
9,165017,165585
10,165452,166250
11,165846,166906
12,165883,166895
13,165129,165406
14,164349,163940
15,163748,162822
16,163123,161830
17,162803,161848
18,162797,162108
19,162472,162010
20,161630,161110
21,160720,159854
22,159998,158956
23,159853,158569
24,160870,158696
25,160732,158044
26,160377,157516
27,159718,157142
28,160669,161369
29,161965,165943
30,163466,165022
31,165657,166534
32,162884,164368
33,162253,164294
34,162669,164822
35,163024,165412
36,163768,166572
37,163123,165282
38,162117,163643
39,161721,163564
40,161303,163216
41,160913,162564
42,161155,162899
43,161233,163082
44,160760,162328
45,160332,161664
46,159975,161187
47,159742,160885
48,159843,161046
49,160068,161336
50,160047,161359
51,160056,161383
52,160040,161350
53,160005,161273
54,159892,161045
55,159635,160726
56,159474,160495
57,159321,160254
58,159121,159980
59,158946,159735
60,158860,159619
61,158785,159494
62,158685,159356
63,158659,159245
64,158561,159124
65,158515,159059
66,158505,159018
67,158464,158944
68,158399,158880
69,158410,158880
70,158383,158847
71,158329,158749
72,158129,158433
73,157886,158177
74,157714,157997
75,157630,157870
76,157530,157727
77,157416,157575
78,157386,157491
79,157313,157388
80,157209,157278
81,157115,157159
82,156971,157062
83,156847,156954
84,156865,156969
85,156827,156917
86,156755,156842
87,156712,156799
88,156661,156759
89,156616,156715
90,156452,156446
91,156209,156130
92,156045,155910
93,155934,155731
94,155823,155517
95,155748,155383
96,155758,155332
97,155782,155333
98,155785,155277
99,155782,155206
100,155744,155110
101,155696,155065
102,155730,155054
103,155701,154988
104,155717,154915
105,155752,154876
106,155758,154863
107,155761,154831
108,155814,154841
109,155811,154813
110,155672,154587
111,155477,154318
112,155293,154108
113,155177,153935
114,155144,153817
115,155042,153643
116,154980,153572
117,154996,153574
118,154994,153532
119,154923,153442
120,154905,153420
121,154905,153411
122,154887,153380
123,154911,153377
124,154905,153377
125,154922,153381
126,154995,153405
127,154969,153417
128,154982,153457
129,155042,153506
130,155088,153549
131,155060,153474
132,154866,153217
133,154726,153064
134,154683,153014
135,154675,152947
136,154620,152864
137,154586,152848
138,154634,152858
139,154666,152861
140,154621,152809
141,154630,152809
142,154659,152839
143,154682,152859
144,154725,152868
145,154730,152874
146,154752,152908
147,154786,152933
148,154797,152931
149,154795,152939
150,154856,152994
151,154894,153019
152,154811,152894
153,154641,152661
154,154493,152507
155,154432,152435
156,154411,152380
157,154346,152277
158,154308,152234
159,154290,152188
160,154268,152154
161,154215,152095
162,154220,152085
163,154202,152075
164,154215,152087
165,154244,152099
166,154254,152120
167,154257,152141
168,154275,152149
169,154284,152162
170,154288,152173
171,154309,152205
172,154337,152245
173,154350,152274
174,154215,152068
175,153999,151833
176,153845,151681
177,153802,151593
178,153730,151485
179,153651,151371
180,153615,151296
181,153596,151271
182,153571,151241
183,153530,151150
184,153466,151084
185,153455,151065
186,153449,151034
187,153448,151032
188,153419,151005
189,153430,151000
190,153412,150964
191,153381,150971
192,153398,150992
193,153410,151008
194,153418,151045
195,153449,151061
196,153251,150794
197,153051,150538
198,152959,150371
199,152914,150262
200,152843,150119
201,152768,149984
202,152704,149879
203,152654,149819
204,152652,149774
205,152596,149669
206,152571,149632
207,152620,149641
208,152580,149568
209,152484,149488
210,152548,149542
211,152633,149595
212,152663,149616
213,152703,149617
214,152712,149616
215,152709,149605
216,152769,149656
217,152765,149628
218,152511,149284
219,152242,148904
220,152037,148640
221,151912,148436
222,151819,148218
223,151709,148017
224,151650,147906
225,151686,147865
226,151631,147755
227,151543,147641
228,151531,147549
229,151494,147509
230,151447,147444
231,151455,147404
232,151392,147337
233,151350,147295
234,151349,147242
235,151335,147211
236,151299,147164
237,151299,147131
238,151229,147020
239,150931,146593
240,150697,146220
241,150519,145967
242,150350,145707
243,150184,145443
244,150027,145243
245,149922,145101
246,149843,144974
247,149702,144797
248,149529,144596
249,149441,144483
250,149341,144387
251,149246,144290
252,149161,144205
253,149085,144133
254,149011,144053
255,148952,143962
256,148906,143930
257,148824,143828
258,148634,143504
259,148333,143067
260,148069,142706
261,147903,142442
262,147721,142189
263,147508,141923
264,147339,141749
265,147218,141639
266,147082,141476
267,146934,141307
268,146774,141157
269,146647,141061
270,146567,140963
271,146465,140887
272,146359,140799
273,146300,140742
274,146230,140699
275,146162,140662
276,146135,140660
277,146086,140636
278,145908,140392
279,145639,140046
280,145375,139730
281,145178,139516
282,145029,139352
283,144827,139200
284,144688,139108
285,144588,139039
286,144472,138970
287,144337,138853
288,144231,138766
289,144140,138738
290,144047,138692
291,144022,138686
292,143967,138688
293,143927,138694
294,143895,138694
295,143859,138702
296,143834,138719
297,143827,138718
298,143677,138539
299,143411,138235
300,143237,137990
301,143065,137830
302,142921,137716
303,142790,137567
304,142678,137498
305,142614,137485
306,142556,137441
307,142455,137361
308,142369,137318
309,142334,137301
310,142297,137305
311,142244,137303
312,142225,137302
313,142205,137308
314,142189,137314
315,142187,137319
316,142165,137324
317,142171,137368
318,142201,137385
319,142026,137160
320,141825,136925
321,141695,136765
322,141614,136676
323,141514,136576
324,141444,136486
325,141414,136469
326,141388,136453
327,141356,136401
328,141284,136337
329,141246,136324
330,141273,136350
331,141286,136375
332,141271,136378
333,141285,136390
334,141281,136416
335,141307,136452
336,141341,136487
337,141374,136537
338,141430,136609
339,141463,136624
340,141317,136419
341,141183,136256
342,141111,136147
343,141061,136095
344,140992,136017
345,140970,135978
346,141004,136011
347,141043,136056
348,141061,136067
349,141025,136058
350,141049,136106
351,141102,136155
352,141112,136216
353,141142,136279
354,141196,136335
355,141236,136416
356,141297,136503
357,141342,136553
358,141397,136637
359,141499,136746
360,141519,136738
361,141365,136569
362,141251,136454
363,141210,136386
364,141170,136367
365,141119,136304
366,141113,136309
367,141118,136341
368,141111,136359
369,141117,136347
370,141080,136330
371,141065,136345
372,141100,136372
373,141116,136409
374,141124,136435
375,141166,136491
376,141183,136535
377,141207,136578
