timestamp,red,green,ir
40394,169383,31382,228455
40404,169387,31372,228396
40414,169379,31393,228372
40423,169375,31390,228418
40433,169393,31401,228405
40444,169372,31385,228387
40454,169375,31373,228406
40463,169375,31372,228359
40474,169369,31366,228382
40484,169360,31377,228363
40494,169357,31389,228371
40503,169356,31393,228351
40513,169363,31357,228362
40524,169352,31389,228334
40534,169370,31371,228311
40543,169353,31377,228336
40562,169350,31372,228322
40565,169347,31371,228337
40574,169351,31347,228314
40583,169341,31395,228318
40593,169347,31373,228328
40603,169345,31383,228330
40614,169332,31374,228335
40624,169347,31376,228317
40642,169311,31384,228308
40645,169339,31371,228324
40654,169324,31372,228304
40664,169311,31375,228319
40673,169327,31361,228317
40683,169334,31372,228291
40693,169326,31363,228317
40704,169333,31376,228309
40713,169331,31384,228321
40723,169330,31357,228305
40733,169331,31383,228342
40744,169335,31382,228314
40753,169329,31385,228318
40763,169336,31364,228329
40774,169325,31371,228310
40784,169333,31371,228319
40793,169341,31382,228305
40803,169326,31376,228333
40813,169331,31380,228332
40824,169318,31385,228331
40833,169335,31377,228350
40843,169333,31376,228325
40854,169343,31358,228302
40863,169319,31376,228313
40874,169331,31358,228318
40883,169323,31378,228336
40894,169327,31351,228319
40904,169323,31376,228327
40914,169312,31376,228333
40923,169333,31354,228333
40933,169319,31377,228265
40943,169336,31376,228330
40954,169343,31356,228321
40962,169324,31378,228311
40973,169327,31373,228326
40984,169327,31366,228328
40994,169335,31361,228332
41003,169303,31367,228330
41013,169336,31382,228339
41023,169328,31373,228317
41033,169329,31374,228337
41043,169330,31399,228331
41053,169324,31368,228339
41063,169324,31367,228323
41073,169339,31406,228349
41083,169325,31356,228340
41093,169335,31368,228362
41103,169320,31363,228340
41114,169323,31362,228325
41124,169320,31361,228294
41133,169322,31359,228340
41143,169294,31370,228339
41153,169323,31368,228346
41164,169336,31365,228327
41173,169316,31374,228347
41183,169318,31381,228324
41193,169323,31364,228305
41204,169324,31370,228335
41213,169328,31350,228320
41223,169330,31366,228331
41243,169312,31373,228321
41245,169313,31354,228335
41252,169318,31352,228336
41263,169314,31361,228320
41273,169320,31373,228309
41283,169303,31368,228328
41293,169321,31366,228347
41303,169315,31364,228316
41313,169319,31370,228332
41324,169302,31374,228314
41333,169301,31361,228294
41343,169292,31361,228313
41353,169316,31364,228309
41364,169283,31368,228307
41374,169300,31365,228314
41383,169276,31366,228330
41393,169310,31357,228303
41403,169263,31364,228319
41413,169300,31341,228301
41423,169318,31360,228299
41433,169274,31385,228331
41443,169306,31348,228283
41453,169285,31378,228326
41462,169294,31356,228305
41472,169292,31359,228308
41483,169289,31352,228292
41493,169285,31356,228314
41502,169292,31352,228302
41512,169279,31333,228304
41522,169300,31360,228284
41533,169306,31349,228281
41542,169274,31362,228286
41553,169274,31336,228289
41563,169276,31346,228273
41573,169276,31365,228302
41583,169288,31367,228281
41592,169285,31357,228293
41603,169283,31361,228277
41613,169274,31345,228308
41623,169275,31355,228283
41633,169251,31364,228300
41643,169287,31355,228290
41653,169291,31353,228284
41663,169263,31364,228285
41672,169273,31353,228298
41683,169272,31361,228290
41693,169283,31362,228320
41703,169270,31357,228269
41712,169258,31346,228267
41723,169277,31335,228295
41733,169280,31329,228257
41743,169274,31342,228266
41752,169258,31341,228292
41762,169280,31353,228285
41772,169250,31348,228304
41783,169258,31351,228295
41792,169268,31340,228277
41802,169282,31326,228298
41813,169278,31353,228274
41823,169288,31339,228271
41833,169258,31337,228286
41843,169266,31333,228303
41853,169267,31333,228291
41863,169255,31336,228296
41873,169268,31333,228287
41882,169242,31347,228281
41892,169271,31343,228299
41903,169269,31345,228282
41913,169268,31356,228291
41922,169263,31349,228297
41932,169276,31331,228287
41942,169279,31337,228281
41953,169267,31333,228263
41962,169269,31345,228276
41972,169259,31341,228302
41983,169275,31347,228305
41993,169268,31334,228296
42001,169270,31345,228297
42012,169271,31360,228313
42023,169261,31342,228278
42033,169266,31332,228307
42042,169272,31340,228298
42052,169281,31339,228311
42062,169272,31343,228307
42072,169277,31334,228319
42083,169280,31341,228298
42092,169262,31347,228292
42102,169284,31336,228307
42112,169256,31338,228324
42123,169260,31347,228327
42132,169264,31356,228323
42142,169282,31337,228314
42152,169271,31345,228332
42162,169283,31314,228332
42172,169269,31338,228324
42183,169274,31338,228300
42193,169268,31344,228325
42203,169278,31342,228323
42212,169275,31331,228321
42222,169284,31349,228323
42232,169260,31342,228320
42243,169285,31326,228330
42252,169283,31339,228315
42262,169275,31325,228322
42272,169268,31352,228300
42282,169277,31328,228329
42291,169279,31340,228304
42301,169271,31355,228325
42312,169250,31341,228320
42323,169272,31338,228317
42333,169241,31341,228314
42342,169286,31333,228329
42352,169258,31335,228319
42362,169263,31347,228326
42372,169274,31343,228311
42382,169267,31336,228331
42392,169275,31325,228317
42402,169274,31342,228328
42412,169278,31333,228338
42421,169284,31344,228326
42431,169292,31318,228339
42442,169281,31343,228361
42453,169282,31336,228342
42462,169283,31344,228317
42472,169258,31349,228330
42482,169276,31349,228340
42492,169277,31335,228334
42501,169276,31344,228337
42511,169266,31337,228338
42522,169280,31345,228363
42533,169293,31346,228343
42542,169293,31340,228332
42552,169298,31358,228353
42562,169274,31347,228316
42572,169262,31349,228341
42582,169276,31329,228339
42591,169279,31359,228322
42602,169282,31352,228329
42612,169288,31361,228352
42622,169283,31348,228346
42631,169247,31340,228365
42641,169268,31341,228359
42651,169281,31333,228363
42663,169284,31331,228332
42671,169280,31339,228345
42682,169282,31328,228359
42692,169287,31350,228363
42702,169281,31354,228350
42711,169290,31364,228360
42722,169294,31342,228341
42731,169292,31352,228369
42742,169286,31353,228363
42751,169297,31331,228361
42762,169272,31346,228353
42771,169292,31354,228352
42783,169286,31341,228358
42791,169278,31353,228322
42801,169270,31356,228360
42812,169286,31354,228375
42822,169284,31350,228387
42832,169292,31329,228353
42841,169284,31334,228360
42851,169269,31351,228363
42861,169277,31343,228389
42871,169286,31342,228377
42882,169296,31330,228369
42892,169285,31356,228351
42902,169291,31352,228388
42912,169307,31332,228382
42921,169301,31348,228371
42931,169284,31332,228377
42942,169272,31343,228380
42952,169286,31355,228380
42961,169294,31370,228389
42971,169294,31341,228376
42981,169290,31357,228378
42992,169283,31333,228382
43002,169282,31360,228381
43012,169298,31347,228394
43022,169296,31347,228374
43032,169297,31355,228392
43041,169289,31345,228373
43051,169264,31351,228393
43062,169293,31345,228386
43072,169292,31339,228403
43082,169289,31354,228375
43091,169288,31354,228412
43101,169276,31351,228379
43111,169296,31350,228394
43122,169292,31342,228389
43131,169298,31353,228397
43141,169300,31351,228394
43151,169297,31339,228392
43162,169289,31331,228385
43171,169292,31345,228393
43181,169292,31350,228404
43191,169294,31350,228393
43201,169267,31350,228387
43210,169293,31360,228385
43222,169280,31354,228396
43231,169301,31367,228400
43242,169292,31353,228402
43251,169296,31351,228397
43261,169285,31366,228412
43271,169296,31357,228395
43281,169296,31369,228394
43291,169299,31351,228403
43301,169309,31358,228391
43311,169311,31365,228411
43321,169291,31339,228401
43331,169309,31349,228425
43341,169298,31327,228397
43351,169304,31368,228394
43361,169293,31348,228395
43372,169297,31362,228398
43381,169288,31353,228414
43391,169292,31356,228376
43401,169286,31367,228388
43411,169293,31344,228428
43420,169305,31365,228394
43431,169287,31364,228410
43441,169294,31376,228398
43451,169272,31353,228391
43460,169290,31364,228383
43470,169300,31363,228392
43481,169288,31360,228398
43491,169296,31350,228401
43501,169299,31353,228403
43511,169276,31362,228391
43521,169274,31363,228406
43531,169296,31366,228397
43541,169295,31371,228394
43550,169290,31355,228414
43561,169280,31339,228396
43571,169298,31358,228384
43581,169299,31357,228408
43590,169290,31368,228386
43601,169267,31362,228401
43611,169302,31371,228376
43623,169266,31361,228393
43630,169303,31353,228418
43640,169298,31354,228403
43650,169307,31355,228405
43662,169304,31362,228393
43671,169288,31371,228381
43683,169293,31355,228388
43691,169295,31374,228400
43701,169293,31351,228412
43710,169291,31355,228403
43721,169283,31354,228407
43731,169294,31369,228387
43741,169276,31363,228406
43750,169285,31363,228399
43760,169281,31369,228396
43770,169299,31352,228413
43781,169280,31353,228412
43791,169295,31364,228410
43800,169307,31346,228427
43810,169293,31362,228419
43820,169302,31364,228423
43831,169283,31366,228420
43840,169285,31380,228422
43850,169307,31357,228425
43861,169303,31355,228414
43871,169281,31369,228429
43880,169279,31368,228405
43890,169280,31367,228422
43901,169308,31345,228429
43911,169298,31363,228430
43920,169300,31349,228416
43930,169297,31367,228435
43940,169291,31349,228442
43950,169264,31368,228422
43960,169285,31359,228424
43970,169283,31371,228416
43981,169284,31368,228442
43991,169290,31364,228435
44000,169297,31368,228410
44010,169286,31342,228425
44020,169270,31364,228415
44030,169280,31362,228435
44040,169298,31363,228451
44050,169280,31354,228430
44061,169304,31350,228424
44071,169290,31369,228423
44081,169291,31357,228439
44090,169289,31359,228422
44100,169302,31365,228434
44110,169291,31370,228435
44120,169285,31368,228446
44130,169295,31353,228431
44141,169293,31368,228418
44164,169307,31362,228441
44170,169300,31355,228447
44180,169291,31370,228447
44190,169292,31363,228441
44200,169280,31352,228437
44210,169282,31363,228435
44220,169290,31372,228439
44230,169294,31360,228456
44241,169293,31360,228453
44250,169294,31354,228431
44260,169291,31351,228428
44270,169288,31356,228438
44280,169313,31350,228447
44291,169297,31366,228461
44300,169304,31370,228453
44310,169299,31361,228459
44320,169294,31362,228455
44330,169300,31356,228461
44339,169315,31362,228483
44350,169301,31333,228453
44360,169305,31368,228475
44370,169307,31338,228476
44379,169288,31351,228463
44390,169286,31357,228472
44400,169302,31373,228461
44410,169289,31357,228445
44420,169288,31359,228459
44430,169294,31364,228459
44440,169293,31369,228459
44451,169291,31363,228437
44460,169276,31375,228459
44470,169294,31345,228448
44480,169276,31342,228425
44490,169278,31360,228447
44500,169289,31353,228438
44509,169273,31357,228446
44519,169271,31361,228439
44530,169276,31350,228423
44540,169278,31352,228437
44549,169277,31340,228434
44560,169275,31352,228426
44570,169269,31357,228400
44580,169263,31360,228446
44589,169276,31351,228438
44600,169255,31355,228428
44610,169270,31359,228417
44624,169276,31371,228430
44629,169272,31357,228449
44640,169286,31359,228442
44649,169262,31339,228431
44660,169283,31357,228429
44669,169289,31362,228456
44679,169256,31357,228448
44690,169272,31352,228455
44700,169261,31356,228439
44709,169266,31367,228447
44719,169259,31352,228438
44730,169276,31366,228435
44740,169256,31365,228461
44750,169263,31378,228455
44759,169258,31351,228454
44770,169262,31343,228435
44780,169275,31352,228465
44790,169281,31356,228462
44799,169279,31367,228435
44810,169293,31349,228453
44820,169271,31371,228455
44830,169278,31352,228453
44839,169288,31360,228420
44850,169285,31350,228447
44860,169269,31361,228448
44870,169276,31342,228443
44879,169270,31354,228449
44890,169264,31357,228443
44900,169256,31343,228415
44910,169258,31354,228461
44919,169266,31342,228428
44929,169252,31358,228445
44940,169242,31363,228458
44950,169256,31343,228452
44959,169252,31354,228442
44969,169260,31354,228427
44979,169273,31348,228445
44990,169253,31366,228442
45000,169259,31357,228438
45009,169266,31363,228457
45019,169271,31332,228444
45030,169261,31360,228434
45040,169242,31359,228450
45049,169253,31349,228443
45059,169257,31350,228437
45069,169257,31355,228424
45083,169259,31364,228414
45089,169255,31362,228437
45099,169252,31343,228426
45110,169267,31348,228424
45120,169252,31352,228413
45129,169252,31339,228435
45139,169230,31357,228423
45150,169260,31354,228440
45160,169243,31346,228422
45169,169258,31351,228433
45179,169254,31347,228429
45189,169242,31357,228405
45199,169215,31364,228426
45223,169244,31354,228426
45230,169245,31353,228420
45240,169244,31345,228411
45250,169250,31354,228439
45259,169236,31356,228429
45269,169239,31346,228418
45279,169238,31340,228410
45290,169219,31346,228401
45299,169247,31348,228426
45309,169234,31346,228405
45319,169243,31346,228436
45329,169242,31353,228404
45339,169215,31364,228419
45349,169245,31357,228423
45359,169251,31348,228393
45369,169223,31351,228420
45379,169227,31340,228415
45389,169237,31346,228412
45399,169228,31354,228414
45410,169232,31349,228430
45422,169238,31357,228408
45429,169237,31349,228422
