timestamp,red,green,ir
9344,168490,31824,226541
9355,168475,31810,226557
9365,168485,31816,226561
9375,168479,31814,226538
9384,168457,31818,226563
9395,168485,31830,226541
9405,168461,31819,226534
9415,168484,31822,226539
9424,168470,31814,226540
9434,168504,31818,226545
9444,168488,31824,226560
9455,168494,31811,226572
9464,168503,31809,226575
9474,168503,31818,226604
9484,168510,31821,226610
9494,168537,31821,226633
9504,168526,31802,226626
9514,168533,31793,226650
9524,168531,31811,226651
9534,168535,31810,226630
9544,168520,31806,226651
9554,168534,31809,226641
9564,168541,31800,226634
9575,168528,31798,226646
9584,168525,31797,226605
9594,168516,31805,226654
9604,168513,31811,226636
9614,168519,31797,226623
9625,168509,31771,226621
9634,168519,31792,226599
9644,168520,31790,226625
9655,168498,31799,226596
9665,168494,31785,226610
9674,168502,31807,226608
9684,168514,31794,226609
9694,168503,31784,226607
9705,168511,31803,226625
9714,168518,31803,226607
9724,168515,31801,226630
9734,168514,31815,226627
9747,168541,31803,226609
9768,168525,31801,226641
9774,168533,31803,226669
9784,168539,31797,226667
9794,168544,31805,226683
9804,168536,31802,226698
9814,168563,31801,226690
9824,168542,31790,226698
9834,168571,31795,226754
9844,168543,31814,226716
9854,168562,31808,226706
9864,168558,31795,226727
9875,168550,31806,226736
9884,168553,31797,226751
9894,168575,31795,226761
9904,168552,31786,226766
9915,168573,31793,226759
9924,168563,31782,226759
9934,168581,31813,226758
9944,168560,31791,226783
9954,168584,31796,226768
9963,168598,31799,226773
9974,168573,31788,226771
9984,168575,31805,226778
9994,168595,31804,226773
10004,168604,31791,226755
10014,168585,31790,226778
10024,168578,31787,226795
10034,168602,31798,226801
10044,168567,31791,226790
10054,168591,31791,226782
10064,168585,31785,226771
10074,168585,31795,226769
10083,168584,31789,226789
10094,168593,31787,226784
10104,168579,31799,226755
10114,168592,31770,226792
10124,168588,31790,226785
10134,168577,31800,226799
10144,168594,31788,226763
10154,168604,31782,226787
10164,168584,31777,226766
10174,168597,31778,226801
10184,168609,31778,226767
10193,168575,31770,226784
10204,168587,31771,226784
10214,168601,31786,226791
10224,168589,31775,226785
10234,168570,31781,226783
10244,168596,31768,226766
10253,168573,31766,226786
10263,168552,31785,226760
10274,168571,31775,226756
10284,168587,31771,226763
10293,168562,31780,226766
10303,168584,31773,226741
10313,168555,31780,226757
10323,168576,31777,226761
10333,168571,31778,226763
10343,168591,31760,226752
10354,168572,31777,226737
10364,168561,31782,226755
