timestamp,ecg
653068363625511415,16756
653068363633185855,16659
653068363640860295,16584
653068363648534735,16528
653068363656209175,16441
653068363663883615,16334
653068363671558055,16233
653068363679232495,16138
653068363686906935,16085
653068363694581375,16196
653068363702255815,16448
653068363709930255,16547
653068363717604695,16104
653068363725279135,15412
653068363732953575,15257
653068363740628015,15419
653068363748302455,15296
653068363755976895,15078
653068363763651335,14998
653068363771325775,14933
653068363779000215,14841
653068363786674655,14749
653068363794349095,14628
653068363802023535,14519
653068363809697975,14422
653068363817372415,14313
653068363825046855,14221
653068363832721295,14124
653068363840395735,14022
653068363848070175,13928
653068363855744615,13819
653068363863419055,13729
653068363871093495,13647
653068363878767935,13538
653068363886442375,13448
653068363894116815,13371
653068363901791255,13245
653068363909465695,13146
653068363917140135,13095
653068363924814575,12964
653068363932489015,12797
653068363940163455,12703
653068363947837895,12587
653068363955512335,12422
653068363963186775,12267
653068363970861215,12127
653068363978535655,11989
653068363986210095,11851
653068363993884535,11742
653068364001558975,11652
653068364009233415,11543
653068364016907855,11424
653068364024582295,11323
653068364032256735,11219
653068364039931175,11110
653068364047605615,11010
653068364055280055,10914
653068364062954495,10822
653068364070628935,10727
653068364078303375,10638
653068364085977815,10534
653068364093652255,10410
653068364101326695,10308
653068364109001135,10221
653068364116675575,10124
653068364124350015,10023
653068364132024455,9906
653068364139698895,9798
653068364147373335,9737
653068364155047775,9650
653068364162722215,9529
653068364170396655,9446
653068364178071095,9359
653068364185745600,9248
653068364193420040,9149
653068364201094480,9066
653068364208768920,8999
653068364216443360,8911
653068364224117800,8807
653068364231792240,8727
653068364239466680,8640
653068364247141120,8543
653068364254815560,8473
6.53068E+17,8386
653068364270164440,8263
653068364277838880,8156
653068364285513320,8062
653068364293187760,7967
653068364300862200,7885
653068364308536640,7803
653068364316211080,7720
653068364323885520,7638
653068364331559960,7551
653068364339234400,7471
653068364346908840,7536
653068364354583280,7832
653068364362257720,8045
653068364369932160,7682
653068364377606600,6962
653068364385281040,6725
653068364392955480,6926
653068364400629920,6868
653068364408304360,6648
653068364415978800,6636
653068364423653240,6655
653068364431327680,6536
653068364439002120,6420
653068364446676560,6381
6.53068E+17,6340
653068364462025440,6270
653068364469699880,6202
653068364477374320,6147
653068364485048760,6084
653068364492723200,6023
653068364500397640,5970
653068364508072080,5904
653068364515746520,5851
653068364523420960,5827
653068364531095400,5781
653068364538769840,5730
653068364546444280,5706
653068364554118720,5653
653068364561793160,5570
653068364569467600,5510
653068364577142040,5466
653068364584816480,5425
653068364592490920,5355
653068364600165360,5231
653068364607839800,5106
653068364615514240,5011
653068364623188680,4919
653068364630863120,4851
653068364638537560,4815
6.53068E+17,4735
653068364653886440,4633
653068364661560880,4604
653068364669235320,4580
653068364676909760,4491
653068364684584200,4442
653068364692258640,4432
653068364699933080,4377
653068364707607520,4328
653068364715281960,4299
653068364722956400,4239
653068364730630840,4166
653068364738305280,4140
653068364745979785,4125
653068364753654225,4064
653068364761328665,4002
653068364769003105,3968
653068364776677545,3926
653068364784351985,3871
653068364792026425,3830
653068364799700865,3796
653068364807375305,3738
653068364815049745,3687
653068364822724185,3636
653068364830398625,3583
653068364838073065,3566
653068364845747505,3527
653068364853421945,3452
653068364861096385,3396
653068364868770825,3367
653068364876445265,3324
653068364884119705,3292
653068364891794145,3282
653068364899468585,3246
653068364907143025,3193
653068364914817465,3152
653068364922491905,3103
653068364930166345,3048
653068364937840785,3006
653068364945515225,3002
653068364953189665,2985
653068364960864105,2922
653068364968538545,2878
653068364976212985,2866
653068364983887425,2931
653068364991561865,3215
653068364999236305,3568
653068365006910745,3401
653068365014585185,2663
653068365022259625,2312
653068365029934065,2563
653068365037608505,2614
653068365045282945,2442
653068365052957385,2452
653068365060631825,2476
653068365068306265,2394
653068365075980705,2370
653068365083655145,2392
653068365091329585,2362
653068365099004025,2307
653068365106678465,2287
653068365114352905,2280
653068365122027345,2251
653068365129701785,2237
