timestamp,ecg
653330117547995998,14752
653330117555670787,14652
653330117563345576,14587
653330117571020365,14531
653330117578695154,14441
653330117586369943,14378
653330117594044732,14329
653330117601719521,14266
653330117609394310,14201
653330117617069099,14111
653330117624743888,13999
653330117632418677,13909
653330117640093466,13839
653330117647768255,13761
653330117655443044,13681
653330117663117833,13613
653330117670792622,13542
653330117678467411,13423
653330117686142200,13285
653330117693816989,13195
653330117701491778,13256
653330117709166567,13506
653330117716841356,13737
653330117724516145,13540
653330117732190934,12874
653330117739865723,12447
653330117747540512,12546
653330117755215301,12549
653330117762890090,12318
653330117770564879,12216
653330117778239668,12184
653330117785914457,12058
653330117793589246,11949
653330117801264035,11878
653330117808938824,11784
653330117816613613,11686
653330117824288402,11606
653330117831963191,11507
653330117839637980,11405
653330117847312769,11312
653330117854987558,11208
653330117862662347,11111
653330117870337136,11040
653330117878011925,10967
653330117885686714,10870
653330117893361503,10768
653330117901036292,10669
653330117908711081,10581
653330117916385870,10506
653330117924060659,10418
653330117931735448,10338
653330117939410237,10275
653330117947085026,10202
653330117954759815,10117
653330117962434604,10035
653330117970109393,9954
653330117977784182,9869
653330117985458971,9758
653330117993133760,9631
653330118000808549,9505
653330118008483338,9357
653330118016158127,9196
653330118023832916,9060
653330118031507705,8934
653330118039182494,8810
653330118046857283,8730
653330118054532072,8650
653330118062206861,8528
653330118069881650,8431
653330118077556439,8361
653330118085231228,8271
653330118092906017,8186
653330118100580806,8113
653330118108240566,8028
653330118115915564,7945
653330118123590562,7875
653330118131265560,7795
653330118138940558,7705
653330118146615556,7632
653330118154290554,7571
653330118161965552,7494
653330118169640550,7396
653330118177315548,7311
653330118184990546,7248
653330118192665544,7188
653330118200340542,7105
653330118208015540,7005
653330118215690538,6925
653330118223365536,6862
653330118231040534,6792
653330118238715532,6716
653330118246390530,6651
653330118254065528,6573
653330118261740526,6485
653330118269415524,6415
653330118277090522,6347
653330118284765520,6274
653330118292440518,6211
653330118300115516,6153
653330118307790514,6080
653330118315465512,6002
653330118323140510,5939
653330118330815508,5881
653330118338490506,5817
653330118346165504,5752
653330118353840502,5684
653330118361515500,5621
653330118369190498,5562
653330118376865496,5502
653330118384540494,5441
653330118392215492,5387
653330118399890490,5329
653330118407565488,5264
653330118415240486,5203
653330118422915484,5145
653330118430590482,5081
653330118438265480,5028
653330118445940478,4972
653330118453615476,4911
653330118461290474,4858
653330118468965472,4804
653330118476640470,4751
653330118484315468,4702
653330118491990466,4649
653330118499665464,4588
653330118507340462,4530
653330118515015460,4481
653330118522690458,4428
653330118530365456,4379
653330118538040454,4336
653330118545715452,4282
653330118553390450,4229
653330118561065448,4183
653330118568740446,4124
653330118576415444,4078
653330118584090442,4047
653330118591765440,3998
653330118599440438,3954
653330118607115436,3915
653330118614790434,3859
653330118622465432,3799
653330118630140430,3753
653330118637815428,3714
653330118645490426,3672
653330118653165424,3631
653330118660840422,3592
653330118668525523,3558
653330118676200381,3510
653330118683875239,3437
653330118691550097,3444
653330118699224955,3687
653330118706899813,4044
653330118714574671,4105
653330118722249529,3595
653330118729924387,3029
653330118737599245,3038
653330118745274103,3204
653330118752948961,3080
653330118760623819,2975
653330118768298677,3002
653330118775973535,2968
653330118783648393,2905
653330118791323251,2885
653330118798998109,2859
653330118806672967,2817
653330118814347825,2798
653330118822022683,2781
653330118829697541,2749
653330118837372399,2715
653330118845047257,2696
653330118852722115,2681
653330118860396973,2655
653330118868071831,2625
653330118875746689,2608
653330118883421547,2584
653330118891096405,2557
653330118898771263,2545
653330118906446121,2540
653330118914120979,2531
653330118921795837,2526
653330118929470695,2521
653330118937145553,2514
653330118944820411,2509
653330118952495269,2502
653330118960170127,2485
653330118967844985,2463
653330118975519843,2434
653330118983194701,2392
653330118990869559,2327
653330118998544417,2242
653330119006219275,2164
653330119013894133,2093
653330119021568991,2035
653330119029243849,1987
653330119036918707,1945
653330119044593565,1911
653330119052268423,1887
653330119059943281,1865
653330119067618139,1838
653330119075292997,1814
653330119082967855,1797
653330119090642713,1785
653330119098317571,1775
653330119105992429,1758
653330119113667287,1736
653330119121342145,1724
653330119129017003,1715
653330119136691861,1693
653330119144366719,1671
653330119152041577,1664
653330119159716435,1656
653330119167391293,1639
653330119175066151,1622
653330119182741009,1603
653330119190415867,1581
653330119198090725,1561
653330119205765583,1554
653330119213440441,1540
653330119221115299,1520
653330119228815282,1503
653330119236489792,1489
653330119244164302,1469
653330119251838812,1450
653330119259513322,1440
653330119267187832,1425
653330119274862342,1404
653330119282536852,1384
653330119290211362,1370
653330119297885872,1362
653330119305560382,1348
653330119313234892,1326
653330119320909402,1311
653330119328583912,1302
653330119336258422,1289
653330119343932932,1280
653330119351607442,1270
653330119359281952,1255
653330119366956462,1241
653330119374630972,1234
653330119382305482,1219
653330119389979992,1202
653330119397654502,1197
653330119405329012,1195
653330119413003522,1178
653330119420678032,1156
653330119428352542,1149
653330119436027052,1144
653330119443701562,1136
653330119451376072,1124
653330119459050582,1107
653330119466725092,1093
653330119474399602,1085
653330119482074112,1078
653330119489748622,1059
653330119497423132,1044
653330119505097642,1042
653330119512772152,1034
653330119520446662,1020
653330119528121172,1008
653330119535795682,1000
653330119543470192,993
653330119551144702,991
653330119558819212,983
653330119566493722,966
653330119574168232,959
653330119581842742,959
653330119589517252,932
653330119597191762,903
653330119604866272,901
653330119612540782,898
653330119620215292,886
653330119627889802,879
653330119635564312,872
653330119643238822,852
653330119650913332,830
653330119658587842,806
653330119666262352,879
653330119673936862,1175
653330119681611372,1542
653330119689285882,1549
653330119696960392,1017
653330119704634902,568
653330119712309412,675
653330119719983922,823
653330119727658432,711
653330119735332942,670
653330119743007452,721
653330119750681962,702
653330119758356472,685
653330119766030982,711
653330119773705492,704
653330119781380002,680
653330119789034462,689
653330119796709251,702
653330119804384040,699
653330119812058829,697
653330119819733618,694
653330119827408407,694
653330119835083196,697
653330119842757985,689
653330119850432774,680
653330119858107563,689
653330119865782352,709
653330119873457141,719
653330119881131930,721
653330119888806719,738
653330119896481508,762
653330119904156297,782
653330119911831086,789
653330119919505875,799
653330119927180664,808
653330119934855453,813
653330119942530242,818
653330119950205031,818
653330119957879820,791
653330119965554609,740
653330119973229398,685
653330119980904187,624
653330119988578976,563
653330119996253765,517
653330120003928554,490
653330120011603343,473
653330120019278132,459
653330120026952921,454
653330120034627710,459
653330120042302499,459
653330120049977288,444
653330120057652077,439
653330120065326866,446
653330120073001655,442
653330120080676444,434
653330120088351233,442
653330120096026022,446
653330120103700811,446
653330120111375600,446
653330120119050389,446
653330120126725178,442
653330120134399967,439
653330120142074756,449
653330120149749545,456
653330120157424334,449
653330120165099123,444
653330120172773912,446
653330120180448701,439
653330120188123490,427
653330120195798279,422
653330120203473068,425
653330120211147857,425
653330120218822646,420
653330120226497435,420
653330120234172224,417
653330120241847013,410
653330120249521802,408
653330120257196591,408
653330120264871380,405
653330120272546169,403
653330120280220958,400
653330120287895747,400
653330120295570536,400
653330120303245325,395
653330120310920114,398
653330120318594903,405
653330120326269692,395
653330120333944481,374
653330120341619270,374
653330120349289038,391
653330120356963897,388
653330120364638756,378
653330120372313615,381
653330120379988474,381
653330120387663333,376
653330120395338192,371
653330120403013051,364
653330120410687910,357
653330120418362769,357
653330120426037628,357
653330120433712487,357
653330120441387346,352
653330120449062205,349
653330120456737064,357
653330120464411923,359
653330120472086782,347
653330120479761641,344
653330120487436500,352
653330120495111359,354
653330120502786218,352
653330120510461077,337
653330120518135936,315
653330120525810795,313
653330120533485654,325
653330120541160513,325
653330120548835372,323
653330120556510231,327
653330120564185090,327
653330120571859949,298
653330120579534808,269
653330120587209667,393
653330120594884526,745
653330120602559385,1071
653330120610234244,942
653330120617909103,366
653330120625583962,46
653330120633258821,235
653330120640933680,340
653330120648608539,228
653330120656283398,225
653330120663958257,281
653330120671633116,257
653330120679307975,240
653330120686982834,264
653330120694657693,274
653330120702332552,269
653330120710007411,274
653330120717682270,276
653330120725357129,279
653330120733031988,286
653330120740706847,296
653330120748381706,306
653330120756056565,308
653330120763731424,306
653330120771406283,318
653330120779081142,335
653330120786756001,349
653330120794430860,359
653330120802105719,369
653330120809780578,393
653330120817455437,422
653330120825130296,442
653330120832805155,454
653330120840480014,466
653330120848154873,480
653330120855829732,502
653330120863504591,512
653330120871179450,500
653330120878854309,471
653330120886529168,422
653330120894204027,366
653330120901878886,306
653330120909533729,255
653330120917208866,225
653330120924884003,194
653330120932559140,167
653330120940234277,167
653330120947909414,179
653330120955584551,174
653330120963259688,167
653330120970934825,167
653330120978609962,174
653330120986285099,182
653330120993960236,184
653330121001635373,182
653330121009310510,187
653330121016985647,194
653330121024660784,201
653330121032335921,204
653330121040011058,206
653330121047686195,211
653330121055361332,216
653330121063036469,211
653330121070711606,206
653330121078386743,208
653330121086061880,208
653330121093737017,208
653330121101412154,211
653330121109087291,211
653330121116762428,208
653330121124437565,208
653330121132112702,213
653330121139787839,216
653330121147462976,213
653330121155138113,208
653330121162813250,208
653330121170488387,208
653330121178163524,208
653330121185838661,211
653330121193513798,211
653330121201188935,206
653330121208864072,206
653330121216539209,208
653330121224214346,213
653330121231889483,216
653330121239564620,216
653330121247239757,218
653330121254914894,218
653330121262590031,211
653330121270265168,211
653330121277940305,216
653330121285615442,211
653330121293290579,211
653330121300965716,221
653330121308640853,228
653330121316315990,221
653330121323991127,204
653330121331666264,206
653330121339341401,213
653330121347016538,213
653330121354691675,213
653330121362366812,228
653330121370041949,245
653330121377717086,242
653330121385392223,228
653330121393067360,223
653330121400742497,221
653330121408417634,211
653330121416092771,216
653330121423767908,221
653330121431443045,218
653330121439118182,213
653330121446793319,201
653330121454468456,194
653330121462143593,191
653330121469828784,179
653330121477503782,264
653330121485178780,580
653330121492853778,957
653330121500528776,942
653330121508203774,381
653330121515878772,-51
653330121523553770,89
653330121531228768,240
653330121538903766,136
653330121546578764,109
653330121554253762,157
653330121561928760,133
653330121569603758,131
653330121577278756,165
653330121584953754,140
653330121592628752,109
653330121600303750,136
653330121607978748,155
653330121615653746,140
653330121623328744,140
653330121631003742,165
653330121638678740,179
653330121646353738,189
653330121654028736,206
653330121661703734,218
653330121669378732,223
653330121677053730,235
653330121684728728,250
653330121692403726,240
653330121700078724,233
653330121707753722,264
653330121715428720,306
653330121723103718,342
653330121730778716,383
653330121738453714,403
653330121746128712,383
653330121753803710,361
653330121761478708,357
653330121769153706,344
653330121776828704,310
653330121784503702,276
653330121792178700,238
653330121799853698,170
653330121807528696,99
653330121815203694,75
653330121822878692,87
653330121830553690,89
653330121838228688,82
653330121845903686,87
653330121853578684,97
653330121861253682,106
653330121868928680,114
653330121876603678,126
653330121884278676,136
653330121891953674,123
653330121899628672,114
653330121907303670,121
653330121914978668,104
653330121922653666,97
653330121930328664,131
653330121938003662,150
653330121945678660,148
653330121953353658,162
653330121961028656,187
653330121968703654,157
653330121976378652,121
653330121984053650,138
653330121991728648,133
653330121999403646,123
653330122007078644,150
653330122014753642,160
653330122022428640,157
653330122030113741,174
653330122037788599,177
653330122045463457,157
653330122053138315,148
653330122060813173,153
653330122068488031,160
653330122076162889,167
653330122083837747,170
653330122091512605,167
653330122099187463,140
653330122106862321,111
653330122114537179,131
653330122122212037,150
653330122129886895,133
653330122137561753,133
653330122145236611,157
653330122152911469,162
653330122160586327,143
653330122168261185,145
653330122175936043,170
653330122183610901,157
653330122191285759,126
653330122198960617,128
653330122206635475,155
653330122214310333,155
653330122221985191,143
653330122229660049,145
653330122237334907,153
653330122245009765,165
653330122252684623,191
653330122260359481,196
653330122268034339,174
653330122275709197,165
653330122283384055,160
653330122291058913,143
653330122298733771,153
653330122306408629,162
653330122314083487,150
653330122321758345,150
653330122329433203,179
653330122337108061,206
653330122344782919,153
653330122352457777,94
653330122360132635,233
653330122367807493,570
653330122375482351,891
653330122383157209,847
653330122390832067,313
653330122398506925,-60
653330122406181783,92
653330122413856641,204
653330122421531499,99
653330122429206357,106
653330122436881215,155
653330122444556073,133
653330122452230931,121
653330122459905789,131
653330122467580647,138
653330122475255505,145
653330122482930363,140
653330122490605221,140
653330122498280079,160
653330122505954937,165
653330122513629795,148
653330122521304653,153
653330122528979511,167
653330122536654369,174
653330122544329227,182
653330122552004085,191
653330122559678943,196
653330122567353801,191
653330122575028659,191
653330122582703517,221
653330122590378444,252
653330122598053302,274
653330122605728160,308
653330122613403018,330
653330122621077876,318
653330122628752734,306
653330122636427592,313
653330122644102450,320
653330122651777308,296
653330122659452166,245
653330122667127024,191
653330122674801882,145
653330122682476740,92
653330122690151598,53
653330122697826456,38
653330122705501314,38
653330122713176172,31
653330122720851030,21
653330122728525888,19
653330122736200746,21
653330122743875604,31
653330122751550462,53
653330122759225320,53
653330122766900178,41
653330122774575036,63
653330122782249894,87
653330122789924752,75
653330122797599610,63
653330122805274468,82
653330122812949326,94
653330122820624184,87
653330122828299042,87
653330122835973900,106
653330122843648758,114
653330122851323616,102
653330122858998474,104
653330122866673332,121
653330122874348190,116
653330122882023048,102
653330122889697906,106
653330122897372764,104
653330122905047622,94
653330122912722480,106
653330122920397338,121
653330122928072196,119
653330122935747054,109
653330122943421912,106
653330122951096770,116
653330122958771628,119
653330122966446486,106
653330122974121344,109
653330122981796202,116
653330122989471060,119
653330122997145918,126
653330123004820776,131
653330123012495634,128
653330123020170492,128
653330123027845350,123
653330123035520208,116
653330123043195066,121
653330123050869924,128
653330123058544782,133
653330123066219640,138
653330123073894498,136
653330123081569356,128
653330123089244214,119
653330123096919072,116
653330123104593930,126
653330123112268788,143
653330123119943646,140
653330123127618504,128
653330123135293362,133
653330123142968220,140
653330123150643147,121
653330123158318005,111
653330123165992863,121
653330123173667721,123
653330123181342579,114
653330123189017437,121
653330123196692295,143
653330123204367153,126
653330123212042011,85
653330123219716869,160
653330123227391727,439
653330123235066585,794
653330123242741443,850
653330123250416301,386
653330123258091159,-80
653330123265766017,-9
653330123273440875,165
653330123281115733,89
653330123288790591,51
653330123296465449,104
653330123304140307,97
653330123311815165,80
653330123319490023,97
653330123327164881,102
653330123334839739,104
653330123342514597,116
653330123350189455,133
653330123357864313,138
653330123365539171,123
653330123373214029,126
653330123380888887,153
653330123388563745,160
653330123396238603,145
653330123403913461,165
653330123411588319,206
653330123419263177,199
653330123426938035,182
653330123434612893,211
653330123442287751,240
653330123449962609,245
653330123457637467,272
653330123465312325,306
653330123472987183,327
653330123480662041,335
653330123488336899,340
653330123496011757,337
653330123503686615,332
653330123511361473,320
653330123519036331,262
653330123526711189,182
653330123534386047,133
653330123542060905,97
653330123549735763,55
653330123557410621,26
653330123565085479,17
653330123572760337,14
653330123580435195,4
653330123588110053,0
653330123595784911,2
653330123603459769,9
653330123611134627,14
653330123618809485,19
653330123626484343,26
653330123634159201,24
653330123641834059,38
653330123649508917,51
653330123657183775,41
653330123664858633,43
653330123672533491,55
653330123680208349,63
653330123687883207,60
653330123695558065,53
653330123703232923,65
653330123710937946,85
653330123718612386,70
653330123726286826,55
653330123733961266,80
653330123741635706,85
653330123749310146,63
653330123756984586,70
653330123764659026,92
653330123772333466,77
653330123780007906,53
653330123787682346,65
653330123795356786,92
653330123803031226,94
653330123810705666,77
653330123818380106,70
653330123826054546,80
653330123833728986,87
653330123841403426,89
653330123849077866,89
653330123856752306,99
653330123864426746,111
653330123872101186,94
653330123879775626,77
653330123887450066,104
653330123895124506,123
653330123902798946,102
653330123910473386,92
653330123918147826,114
653330123925822266,131
653330123933496706,128
653330123941171146,111
653330123948845586,99
653330123956520026,109
653330123964194466,106
653330123971868906,92
653330123979543346,99
653330123987217786,116
653330123994892226,111
653330124002566666,114
653330124010241106,116
653330124017915546,89
653330124025589986,126
653330124033264426,374
653330124040938866,760
653330124048613306,920
653330124056287746,531
653330124063962186,-34
653330124071636626,-82
653330124079311066,148
653330124086985506,121
653330124094659946,36
653330124102334386,82
653330124110008826,92
653330124117683266,68
653330124125357706,87
653330124133032146,106
653330124140706586,99
653330124148381026,87
653330124156055466,99
653330124163729906,119
653330124171404346,109
653330124179078786,111
653330124186753226,138
653330124194427666,136
653330124202102106,138
653330124209776546,165
653330124217450986,167
653330124225125426,162
653330124232799866,199
653330124240474306,238
653330124248148746,228
653330124255823186,225
653330124263497626,276
653330124271142035,310
653330124278816893,315
653330124286491751,340
653330124294166609,349
653330124301841467,347
653330124309516325,347
653330124317191183,320
653330124324866041,262
653330124332540899,208
653330124340215757,157
653330124347890615,102
653330124355565473,63
653330124363240331,36
653330124370915189,21
653330124378590047,14
653330124386264905,9
653330124393939763,12
653330124401614621,9
653330124409289479,12
653330124416964337,21
653330124424639195,7
653330124432314053,0
653330124439988911,26
653330124447663769,36
653330124455338627,31
653330124463013485,41
653330124470688343,46
653330124478363201,38
653330124486038059,51
653330124493712917,65
653330124501387775,65
653330124509062633,68
653330124516737491,75
653330124524412349,68
653330124532087207,63
653330124539762065,75
653330124547436923,77
653330124555111781,68
653330124562786639,80
653330124570461497,89
653330124578136355,80
653330124585811213,72
653330124593486071,75
653330124601160929,80
653330124608835787,77
653330124616510645,68
653330124624185503,68
653330124631860361,85
653330124639535219,89
653330124647210077,77
653330124654884935,65
653330124662559793,65
653330124670234651,80
653330124677909509,89
653330124685584367,92
653330124693259225,99
653330124700934083,94
653330124708608941,82
653330124716283799,94
653330124723958657,92
653330124731633515,92
653330124739308373,116
653330124746983231,128
653330124754658089,121
653330124762332947,128
653330124770007805,123
653330124777682663,99
653330124785357521,97
653330124793032379,102
653330124800707237,104
653330124808382095,116
653330124816056953,119
653330124823731811,121
653330124831406738,116
653330124839081596,80
653330124846756454,150
653330124854431312,468
653330124862106170,864
653330124869781028,896
653330124877455886,381
653330124885130744,-97
653330124892805602,-19
653330124900480460,160
653330124908155318,70
653330124915830176,26
653330124923505034,94
653330124931179892,85
653330124938854750,46
653330124946529608,70
653330124954204466,99
653330124961879324,94
653330124969554182,97
653330124977229040,106
653330124984903898,109
653330124992578756,116
653330125000253614,136
653330125007928472,143
653330125015603330,131
653330125023278188,136
653330125030953046,165
653330125038627904,170
653330125046302762,165
653330125053977620,189
653330125061652478,221
653330125069327336,238
653330125077002194,259
653330125084677052,281
653330125092351910,289
653330125100026768,306
653330125107701626,330
653330125115376484,337
653330125123051342,327
653330125130726200,320
653330125138401058,296
653330125146075916,240
653330125153750774,172
653330125161425632,109
653330125169100490,68
653330125176775348,43
653330125184450206,29
653330125192125064,21
653330125199799922,24
653330125207474780,24
653330125215149638,21
653330125222824496,26
653330125230499354,26
653330125238174212,26
653330125245849070,46
653330125253523928,58
653330125261198786,48
653330125268873644,41
653330125276548502,53
653330125284223360,65
653330125291898218,70
653330125299573076,65
653330125307247934,68
653330125314922792,75
653330125322597650,68
653330125330272508,55
653330125337947366,51
653330125345622224,60
653330125353297082,72
653330125360971940,82
653330125368646798,72
653330125376321656,65
653330125383996514,80
653330125391671441,75
653330125399346299,48
653330125407021157,53
653330125414696015,70
653330125422370873,63
653330125430045731,63
653330125437720589,82
653330125445395447,75
653330125453070305,55
653330125460745163,58
653330125468420021,72
653330125476094879,75
653330125483769737,82
653330125491444595,87
653330125499119453,75
653330125506794311,68
653330125514469169,80
653330125522144027,94
653330125529818885,94
653330125537493743,85
653330125545168601,99
653330125552843459,121
653330125560518317,116
653330125568193175,123
653330125575868033,119
653330125583542891,85
653330125591217749,80
653330125598892607,104
653330125606567465,106
653330125614242323,85
653330125621917181,80
653330125629592039,97
653330125637266897,97
653330125644941755,63
653330125652616613,70
653330125660291471,267
653330125667966329,643
653330125675641187,906
