timestamp,red,green,ir
6410,177398,36789,213863
6418,177408,36783,213871
6429,177416,36752,213892
6439,177404,36777,213873
6450,177380,36789,213900
6459,177397,36795,213893
6469,177400,36778,213873
6494,177404,36773,213875
6499,177387,36782,213845
6508,177384,36774,213809
6519,177407,36778,213787
6529,177411,36780,213760
6539,177386,36794,213738
6548,177386,36790,213723
6559,177414,36785,213740
6569,177398,36774,213718
6579,177385,36786,213743
6589,177368,36776,213758
6598,177379,36780,213753
6613,177372,36774,213773
6619,177384,36774,213797
6628,177396,36781,213772
6638,177378,36788,213801
6648,177365,36782,213764
6659,177357,36784,213770
6671,177383,36785,213752
6694,177390,36781,213778
6698,177380,36784,213772
6708,177380,36773,213760
6718,177378,36778,213752
6728,177371,36783,213755
6739,177375,36770,213762
6751,177388,36784,213749
6759,177373,36775,213771
6772,177352,36786,213768
6779,177357,36766,213781
6789,177359,36773,213746
6798,177363,36764,213769
6808,177362,36772,213756
6819,177351,36774,213763
6829,177348,36769,213738
6838,177350,36765,213783
6848,177340,36767,213817
6858,177349,36782,213811
6869,177329,36777,213838
6879,177336,36774,213834
6888,177338,36767,213843
6899,177339,36782,213885
6909,177340,36776,213912
6918,177341,36771,213932
6928,177366,36782,213946
6938,177378,36765,213952
6949,177344,36795,213947
6958,177375,36782,213933
6968,177392,36773,213922
6978,177383,36772,213902
6989,177404,36786,213925
6999,177398,36773,213918
7008,177396,36775,213894
7018,177393,36770,213946
7033,177399,36782,213934
7039,177403,36775,213946
7048,177389,36777,213919
7058,177390,36783,213916
7068,177389,36783,213905
7079,177392,36760,213899
7088,177384,36788,213914
7098,177390,36780,213955
7109,177363,36771,213954
7118,177371,36777,213972
7128,177367,36784,213978
7138,177370,36777,213962
7148,177383,36776,213965
7159,177367,36786,213965
7168,177376,36777,213932
7178,177374,36778,213942
7188,177378,36786,213948
7199,177387,36782,213934
7208,177356,36781,213932
7218,177374,36779,213944
7228,177406,36775,213923
7239,177384,36777,213926
7251,177361,36775,213923
7258,177375,36773,213928
7268,177354,36779,213904
7278,177369,36745,213922
7289,177372,36769,213929
7297,177363,36759,213946
7308,177370,36766,213945
7319,177376,36773,213966
7329,177367,36780,213963
7338,177368,36748,213967
7348,177352,36777,213992
7358,177363,36774,213998
7368,177381,36779,213982
7378,177372,36771,213992
7388,177369,36775,213942
7399,177358,36781,213986
7409,177385,36787,213983
7418,177377,36774,213984
7428,177376,36783,213979
7438,177386,36782,213972
7448,177363,36788,213975
7458,177397,36786,213961
7467,177379,36795,213973
7478,177384,36781,213988
7488,177406,36793,213981
7498,177405,36776,213993
7507,177386,36787,213987
7518,177402,36776,213977
7528,177407,36776,213994
7538,177410,36777,213987
7548,177386,36780,214002
7558,177411,36783,213980
7568,177419,36790,213976
7578,177417,36786,213992
7588,177404,36776,214005
7597,177407,36789,213989
7608,177424,36765,214016
7618,177421,36773,214055
7628,177473,36790,214079
7638,177461,36798,214110
7648,177540,36815,214201
7658,177615,36819,214370
7667,177723,36829,214579
7678,177823,36821,214781
7688,177919,36836,214956
7698,177980,36845,215119
7708,178040,36821,215240
7717,178078,36835,215305
7728,178157,36824,215402
7738,178185,36832,215452
7748,178201,36843,215522
7758,178228,36835,215549
7768,178242,36848,215589
7778,178261,36842,215606
7788,178249,36824,215597
7797,178236,36825,215594
7807,178259,36822,215606
7818,178240,36824,215552
7828,178229,36834,215516
7877,178038,36816,215102
7888,177945,36808,214980
