timestamp,red,green,ir
2132,193250,40557,214951
2143,193221,40559,214947
2153,193243,40562,214947
2163,193243,40557,214951
2171,193256,40544,214946
2182,193248,40542,214954
2192,193253,40560,214965
2203,193231,40556,214971
2211,193257,40564,214961
2222,193242,40541,214954
2233,193237,40545,214978
2243,193236,40555,215013
2252,193234,40551,214998
2262,193243,40557,214988
2272,193245,40536,214994
2282,193236,40548,214952
2292,193225,40566,214984
2302,193214,40564,214960
2312,193237,40527,214972
2322,193236,40542,214934
2332,193209,40558,214956
2351,193206,40543,214932
2353,193228,40555,214935
2362,193235,40534,214933
2372,193232,40550,214925
2382,193214,40536,214911
2392,193217,40544,214901
2402,193207,40549,214953
2413,193215,40553,214963
2422,193210,40546,214976
2432,193197,40529,214994
2442,193193,40544,215007
2453,193193,40520,215020
2462,193192,40541,215021
2472,193197,40514,215027
2482,193185,40535,215032
2493,193196,40536,215045
2502,193199,40539,215033
2512,193193,40538,215032
2522,193202,40542,215030
2532,193189,40544,215022
2541,193221,40553,215010
2552,193211,40551,215034
2562,193225,40547,215020
2573,193199,40552,215042
2583,193232,40524,215060
2592,193184,40549,215064
2602,193215,40537,215066
2612,193195,40541,215101
2622,193221,40527,215068
2631,193230,40528,215103
2642,193230,40529,215076
2652,193215,40531,215094
2662,193233,40535,215058
2671,193216,40522,215056
2681,193196,40511,215028
2692,193219,40510,215040
2702,193242,40512,214977
2711,193197,40523,215039
2721,193195,40515,214994
2732,193228,40497,215003
2742,193202,40530,214993
2751,193206,40508,214993
2762,193197,40515,214983
2772,193213,40524,214960
2782,193200,40516,215015
2791,193208,40504,215019
2801,193217,40527,215041
2812,193215,40517,215026
2822,193220,40531,215009
2832,193211,40520,215021
2841,193213,40522,215034
2851,193202,40494,215027
2861,193193,40514,215065
2872,193197,40499,215034
2881,193209,40521,215026
2892,193201,40513,215038
2902,193193,40518,215027
2912,193182,40516,215031
2921,193180,40518,215013
2931,193197,40521,215033
2941,193180,40532,215035
2952,193193,40500,215019
2961,193179,40507,215015
2971,193187,40504,215014
2981,193187,40500,215054
2992,193165,40496,215022
3001,193190,40526,215042
3011,193181,40522,215030
3021,193211,40523,215087
3032,193184,40517,215056
3041,193198,40510,215094
3051,193188,40518,215077
3062,193202,40523,215065
3071,193195,40504,215073
3082,193190,40496,215094
3092,193200,40523,215069
3102,193209,40522,215096
3112,193209,40513,215068
3122,193208,40512,215075
3131,193197,40515,215073
3141,193215,40520,215077
3152,193217,40511,215045
3162,193212,40506,215051
3171,193203,40511,215066
3181,193214,40501,214999
3191,193211,40510,215052
3202,193221,40519,215062
3211,193206,40516,215067
3222,193196,40504,215021
3231,193201,40522,215059
3242,193213,40508,215030
3251,193220,40504,215027
3261,193210,40506,215087
3272,193205,40532,215077
3282,193208,40522,215103
3291,193200,40525,215079
3301,193215,40531,215080
3311,193221,40529,215092
3321,193217,40545,215096
3331,193215,40515,215104
3340,193227,40514,215092
3351,193246,40517,215110
3362,193243,40533,215081
3371,193235,40525,215083
3381,193247,40527,215107
3391,193249,40518,215107
3402,193249,40495,215099
3412,193250,40517,215072
3421,193265,40519,215086
3431,193237,40519,215081
3441,193248,40508,215045
3452,193257,40506,215076
3461,193232,40514,215074
3471,193242,40515,215086
3481,193244,40517,215029
3492,193250,40515,215075
3501,193257,40507,215072
3511,193242,40518,215094
3521,193239,40514,215078
3532,193240,40513,215092
3541,193252,40518,215112
3551,193208,40515,215105
3561,193239,40530,215105
3571,193245,40513,215111
3581,193242,40503,215090
3591,193252,40506,215110
3601,193251,40510,215107
3611,193246,40519,215074
3621,193238,40533,215076
3630,193218,40507,215073
3640,193247,40517,215053
3651,193238,40496,215070
3661,193223,40507,215052
3670,193251,40504,215056
3681,193210,40507,215018
3691,193210,40495,215018
3701,193218,40515,215050
3821,193244,40517,215099
3830,193243,40516,215079
3833,193239,40518,215071
3840,193245,40504,215103
3851,193242,40519,215093
3861,193225,40533,215137
3871,193258,40514,215118
3880,193215,40514,215120
3890,193243,40505,215126
3900,193235,40511,215112
3911,193273,40512,215064
3920,193252,40507,215074
3931,193252,40511,215077
3941,193251,40524,215088
3951,193248,40538,215051
3960,193253,40520,215020
3970,193273,40526,215060
3980,193248,40539,215124
3991,193255,40510,215119
4001,193233,40509,215127
4011,193255,40520,215138
4021,193238,40506,215154
4031,193240,40516,215169
4041,193250,40527,215141
4050,193259,40530,215133
4060,193256,40532,215142
4071,193278,40515,215119
4081,193271,40514,215096
4090,193255,40528,215095
4100,193270,40539,215072
4111,193255,40517,215102
4121,193252,40533,215087
4130,193249,40524,215100
4140,193262,40518,215078
4151,193247,40516,215092
4161,193265,40529,215100
4170,193254,40523,215125
4180,193263,40517,215130
4191,193267,40529,215144
4201,193284,40537,215104
4210,193277,40514,215136
4220,193279,40505,215127
4231,193284,40504,215140
4241,193298,40518,215101
4250,193298,40518,215153
4260,193295,40502,215158
4270,193279,40507,215153
4280,193276,40525,215123
4291,193287,40521,215125
4300,193276,40526,215148
4310,193276,40527,215138
4320,193293,40501,215158
4330,193287,40501,215137
4340,193288,40504,215155
4351,193287,40523,215153
4361,193267,40520,215163
4370,193289,40511,215130
4380,193259,40509,215165
4391,193276,40512,215134
4401,193260,40534,215157
4411,193285,40509,215161
4420,193285,40517,215152
4430,193289,40496,215159
4440,193288,40504,215185
4450,193290,40507,215183
4460,193298,40510,215180
4470,193284,40518,215153
4480,193260,40520,215180
4491,193281,40502,215178
4500,193282,40519,215181
4510,193270,40507,215162
4520,193287,40514,215149
4531,193274,40495,215149
4541,193273,40520,215148
4550,193277,40495,215153
4560,193278,40501,215152
