timestamp ecg,
652984673685113069,14112
652984673692787509,14051
652984673700461949,13992
652984673708136389,13929
652984673715810829,13846
652984673723485269,13780
652984673731159709,13724
652984673738834149,13656
652984673746508589,13600
652984673754183029,13551
652984673761857469,13471
652984673769531909,13383
652984673777206349,13293
652984673784880789,13142
652984673792555229,12976
652984673800229669,12832
652984673807904109,12674
652984673815578549,12520
652984673823252989,12408
652984673830927429,12313
652984673838601869,12196
652984673846276309,12074
652984673853950749,11955
652984673861625189,11855
652984673869299629,11782
652984673876974069,11694
652984673884648509,11594
652984673892322949,11499
652984673899997389,11399
652984673907671829,11306
652984673915346269,11219
652984673923020709,11106
652984673930695149,10997
652984673938369589,10924
652984673946044029,10841
652984673953718469,10729
652984673961392909,10631
652984673969067349,10543
652984673976741789,10453
652984673984416229,10361
652984673992090669,10249
652984673999765109,10153
652984674007439549,10066
652984674015113989,9944
652984674022788429,9832
652984674030462869,9754
652984674038137309,9671
652984674045811749,9568
652984674053486189,9469
652984674061160629,9378
652984674068835069,9281
652984674076509509,9171
652984674084183949,9076
652984674091858389,8996
652984674099532829,8893
652984674107207269,8784
652984674114881709,8706
652984674122556149,8635
652984674130230589,8545
652984674137905029,8445
652984674145579469,8360
652984674153253909,8286
652984674160928349,8199
652984674168602789,8091
652984674176277229,7984
652984674183951669,7899
652984674191626109,7833
652984674199300549,7767
652984674206974989,7680
652984674214649429,7580
652984674222323869,7509
652984674229998309,7448
652984674237672749,7355
652984674245347254,7268
652984674253021694,7202
652984674260696134,7119
652984674268370574,7024
652984674276045014,6943
652984674283719454,6873
652984674291393894,6802
652984674299068334,6729
652984674306742774,6646
652984674314417214,6568
652984674322091654,6512
652984674329766094,6468
652984674337440534,6407
652984674345114974,6305
652984674352789414,6205
652984674360463854,6139
652984674368138294,6078
652984674375812734,6003
652984674383487174,5934
652984674391161614,5873
652984674398836054,5803
652984674406510494,5727
652984674414184934,5659
652984674421859374,5654
652984674429533814,5847
652984674437208254,6215
652984674444882694,6371
652984674452557134,5871
652984674460231574,5125
652984674467906014,5001
652984674475580454,5228
652984674483254894,5128
652984674490929334,4957
652984674498603774,4969
652984674506278214,4928
652984674513952654,4823
652984674521627094,4784
652984674529301534,4750
652984674536975974,4679
652984674544650414,4638
652984674552324854,4606
652984674559999294,4545
652984674567673734,4487
652984674575348174,4455
652984674583022614,4418
652984674590697054,4362
652984674598371494,4309
652984674606045934,4267
652984674613720374,4228
652984674621394814,4187
652984674629069254,4150
652984674636743694,4131
652984674644418134,4104
652984674652092574,4055
652984674659767014,4021
652984674667441454,4021
652984674675115894,4002
652984674682790334,3960
652984674690464774,3928
652984674698139214,3899
652984674705813654,3868
652984674713488094,3824
652984674721162534,3758
652984674728836974,3673
652984674736511414,3573
652984674744185854,3473
652984674751860294,3385
652984674759534734,3312
652984674767209174,3241
652984674774883614,3166
652984674782558054,3117
652984674790232494,3095
652984674797906934,3058
652984674805571359,3012
652984674813245939,2983
652984674820920519,2954
652984674828595099,2919
652984674836269679,2883
652984674843944259,2858
652984674851618839,2844
652984674859293419,2810
652984674866967999,2759
652984674874642579,2727
652984674882317159,2705
652984674889991739,2681
652984674897666319,2656
652984674905340899,2617
652984674913015479,2573
652984674920690059,2544
652984674928364639,2525
652984674936039219,2495
652984674943713799,2456
652984674951388379,2425
652984674959062959,2395
652984674966737539,2359
652984674974412119,2334
652984674982086699,2320
652984674989761279,2293
652984674997435859,2254
652984675005110439,2222
652984675012785019,2196
652984675020459599,2174
652984675028134179,2149
652984675035808759,2118
652984675043483339,2093
652984675051157919,2076
652984675058832499,2054
652984675066507079,2030
652984675074181659,2008
652984675081856239,1986
652984675089530819,1959
652984675097205399,1940
652984675104879979,1923
652984675112554559,1898
652984675120229139,1874
652984675127903719,1859
652984675135578299,1842
652984675143252879,1825
652984675150927459,1803
652984675158602039,1769
652984675166276619,1747
652984675173951199,1737
652984675181625779,1720
652984675189300359,1696
652984675196974939,1676
652984675204649519,1662
652984675212324099,1645
652984675219998679,1628
652984675227673259,1618
652984675235347839,1611
652984675243022419,1594
652984675250696999,1576
652984675258371579,1562
652984675266046159,1535
652984675273720739,1501
652984675281395319,1477
652984675289069899,1464
652984675296744479,1450
652984675304419059,1428
652984675312093639,1423
652984675319768219,1440
652984675327442799,1418
652984675335117379,1396
652984675342791959,1574
652984675350466539,1981
652984675358141119,2298
652984675365805706,2057
652984675373480425,1325
652984675381155144,996
652984675388829863,1252
652984675396504582,1323
652984675404179301,1172
652984675411854020,1189
652984675419528739,1230
652984675427203458,1172
652984675434878177,1157
652984675442552896,1186
652984675450227615,1167
652984675457902334,1140
652984675465577053,1140
652984675473251772,1140
652984675480926491,1130
652984675488601210,1121
652984675496275929,1111
652984675503950648,1104
652984675511625367,1101
652984675519300086,1099
652984675526974805,1091
652984675534649524,1087
652984675542324243,1094
652984675549998962,1108
652984675557673681,1123
652984675565348400,1123
652984675573023119,1128
652984675580697838,1147
652984675588372557,1167
652984675596047276,1172
652984675603721995,1174
652984675611396714,1184
652984675619071433,1184
652984675626746152,1169
652984675634420871,1147
652984675642095590,1104
652984675649770309,1033
652984675657445028,955
652984675665119747,892
652984675672794466,840
652984675680469185,801
652984675688143904,767
652984675695818623,740
652984675703493342,728
652984675711168061,728
652984675718842780,726
652984675726517499,716
652984675734192218,704
652984675741866937,699
652984675749541656,701
652984675757216375,704
652984675764891094,704
652984675772565813,699
652984675780240532,697
652984675787915251,697
652984675795589970,697
652984675803264689,689
652984675810939408,687
652984675818614127,684
652984675826288846,677
652984675833963565,670
652984675841638284,662
652984675849313003,653
652984675856987722,645
652984675864662441,638
652984675872337160,626
652984675880011879,616
652984675887686598,614
652984675895361317,611
652984675903036036,604
652984675910710755,599
652984675918385474,599
652984675926080327,592
652984675933754767,587
652984675941429207,582
652984675949103647,575
652984675956778087,577
652984675964452527,580
652984675972126967,570
652984675979801407,555
652984675987475847,548
652984675995150287,545
652984676002824727,541
652984676010499167,536
652984676018173607,526
652984676025848047,499
652984676033522487,487
652984676041196927,524
652984676048871367,555
652984676056545807,538
652984676064220247,514
652984676071894687,511
652984676079569127,516
652984676087243567,528
652984676094918007,533
652984676102592447,499
652984676110266887,477
652984676117941327,494
652984676125615767,502
652984676133290207,524
652984676140964647,565
652984676148639087,545
652984676156313527,487
652984676163987967,472
652984676171662407,472
652984676179336847,465
652984676187011287,455
652984676194685727,436
652984676202360167,441
652984676210034607,463
652984676217709047,511
652984676225383487,762
