timestamp,ch1,ch2,ch3
653324727770211912,325218,268082,294197
653324727777653888,325235,268066,294204
653324727785095864,325190,268092,294196
653324727792537840,325178,268108,294211
653324727799979816,325185,268128,294145
653324727807421792,325198,268131,294194
653324727814863768,325186,268072,294265
653324727822305744,325137,268069,294307
653324727829747720,325146,267954,294340
653324727837189696,325102,268080,294264
653324727844631672,325245,268091,294358
653324727852073648,325163,267979,294416
653324727859515624,325148,268048,294385
653324727866957600,325180,268017,294413
653324727874399576,325168,268046,294442
653324727881841552,325167,268180,294242
653324727889283528,325135,268061,294209
653324727896725504,325035,268009,294138
653324727904415067,325357,267988,293950
653324727911842480,325116,268037,293970
653324727919269893,325523,268650,294598
653324727926697306,325277,268274,294211
653324727934124719,325173,268097,294053
653324727941552132,325149,268080,293994
653324727948979545,325084,268081,293982
653324727956406958,325052,267953,293875
653324727963834371,325140,268073,293824
653324727971261784,325024,267936,293731
653324727978689197,325052,267989,293692
653324727986116610,325115,268025,293655
653324727993544023,325128,267954,293549
653324728000971436,325004,267962,293569
653324728008398849,324957,267871,293543
653324728015826262,325059,267883,293544
653324728023253675,325041,267941,293556
653324728030681088,324970,267980,293514
653324728037860936,324842,268066,293703
653324728045302912,324874,267960,293674
653324728052744888,324846,267943,293547
653324728060186864,324900,268010,293549
653324728067628840,324927,267989,293680
653324728075070816,325007,268114,293882
653324728082512792,325065,268066,293915
653324728089954768,325194,268069,293942
653324728097396744,325151,268146,293955
653324728104838720,325182,268137,293935
653324728112280696,325118,268144,293984
653324728119722672,325187,268081,293879
653324728127164648,325140,268173,293870
653324728134606624,325197,268254,294083
653324728142048600,325263,268330,294133
653324728149490576,325391,268217,294232
653324728156932552,325495,268464,294318
653324728164374528,325524,268418,294469
653324728171940297,325555,268558,294441
653324728179374992,325755,268530,294691
653324728186809687,325921,268638,294985
653324728194244382,325823,268653,294996
653324728201679077,325810,268719,294925
653324728209113772,325959,268703,295102
653324728216548467,325885,268690,294905
653324728223983162,325890,268659,294851
653324728231417857,325980,268706,294806
653324728238852552,326235,269208,295446
653324728246287247,325923,268775,294870
653324728253721942,325831,268434,294649
653324728261156637,325834,268359,294509
653324728268591332,325868,268406,294739
653324728276026027,325900,268447,294917
653324728283460722,325805,268433,295055
653324728290895417,325889,268415,295205
653324728298330112,325935,268512,295272
653324728305764809,325902,268788,295079
653324728313199504,325774,268419,295106
653324728320634199,325796,268435,294831
653324728328068894,325742,268298,294761
653324728335503589,325549,268277,294513
653324728342938284,325573,268234,294278
653324728350372979,325606,268253,294299
653324728357807674,325624,268239,294209
653324728365242369,325488,268173,294045
653324728372677064,325335,268037,293918
653324728380111759,325260,268092,293827
653324728387546454,325366,268013,293946
653324728394981149,325342,267924,293790
653324728402415844,325436,267984,293694
653324728409850539,325361,268012,293543
653324728417285234,325639,267980,293551
653324728424719929,325491,267832,293504
653324728432154624,325407,267867,293358
653324728439589321,325778,267281,293535
653324728447024016,325434,267717,293202
653324728454458711,325275,267787,293222
653324728461893406,325326,267974,293151
653324728469328101,325375,268045,293181
653324728476762796,325385,268059,293105
653324728484197491,325293,268045,293138
653324728491632186,325202,268014,293063
653324728499066881,325310,268042,293214
653324728506501576,325214,268058,293293
653324728513936271,325267,268010,293376
653324728521370966,325461,267954,293462
653324728528805661,325530,268066,293557
653324728536240356,325530,267994,293615
653324728543675051,325294,267910,293792
653324728551109746,325507,268062,293858
653324728558544441,325663,268753,294678
653324728565979136,325591,268363,294371
653324728573290056,325830,268160,294373
653324728580732032,325644,268075,294289
653324728588174008,325674,268062,294225
653324728595615984,325612,268098,294251
653324728603057960,325590,268124,294214
653324728610499936,325736,268116,294257
653324728617941912,325615,268121,294269
653324728625383888,325662,268123,294317
653324728632825864,325715,268147,294326
653324728640267840,325787,268146,294349
653324728647709816,325698,268148,294194
653324728655151792,325755,268075,294278
653324728662593768,325823,268096,294168
653324728670035744,325839,268099,294018
653324728677477720,325846,268152,294132
653324728684919696,325821,267992,294007
653324728692361672,325758,268089,293982
653324728699803648,325758,268209,293955
653324728707369417,325613,267909,293811
653324728714804112,325726,268129,293862
653324728722238807,325758,268151,293720
653324728729673502,325771,268158,293625
653324728737108197,325842,268183,293524
653324728744542892,325799,268138,293620
653324728751977587,325940,268214,293516
653324728759412282,325951,268269,293501
653324728766846977,325919,268268,293387
653324728774281672,325872,268196,293244
653324728781716367,325891,268240,293073
653324728789151062,325847,268216,293159
653324728796585757,325798,268150,293156
653324728804020452,325764,268127,293108
653324728811455147,325856,268083,293094
653324728818889842,325880,268154,293063
653324728826324537,325820,268256,293148
653324728833759232,325881,268261,293268
653324728841317723,326125,268158,293126
653324728848745136,325990,268256,293297
653324728856172549,325871,268278,293509
653324728863599962,325958,268261,293489
653324728871027375,326003,268386,293587
653324728878454788,325998,269014,294227
653324728885882201,325897,268647,293914
653324728893309614,326010,268456,293732
653324728900737027,325981,268338,293585
653324728908164440,325930,268312,293575
653324728915591853,325955,268140,293623
653324728923019266,325831,268205,293529
653324728930446679,325899,268301,293482
653324728937874092,325893,268301,293440
653324728945301505,325912,268172,293431
653324728952728918,325847,268194,293503
653324728960156331,325915,268233,293358
653324728967583744,325935,268157,293362
653324728974639798,326105,268536,293199
653324728982089056,326078,268269,293406
653324728989538314,325996,268196,293375
653324728996987572,325939,268210,293488
653324729004436830,325950,268019,293470
653324729011886088,325748,268109,293164
653324729019335346,325729,268043,293095
653324729026784604,325719,268034,293136
653324729034233862,325765,267992,292990
653324729041683120,325702,268026,292888
653324729049132378,325679,267971,292881
653324729056581636,325765,267983,292913
653324729064030894,325671,267889,292986
653324729071480152,325655,267871,292804
