timestamp,ch1,ch2,ch3
653328586906135844,23416,-6567,26110
6.53329E+17,23210,-7003,25979
653328586921016156,23232,-7113,25976
653328586928456312,23045,-7265,25898
653328586935896468,23964,-6297,26727
653328586943336624,23341,-7010,26100
653328586950776780,22986,-7169,25683
653328586958216936,22854,-7183,25532
653328586965657092,23828,-7206,26478
653328586973097248,23344,-7245,25847
653328586980537404,23129,-7257,25493
653328586987977560,23071,-7258,25367
653328586995417716,23045,-7159,25288
653328587002857872,23041,-7067,25173
653328587010298028,23159,-7079,25188
653328587017738184,23355,-7033,25267
653328587025178340,23506,-7093,25175
653328587032618496,23554,-7072,25163
653328587040197924,23454,-6682,25129
653328587047629888,23642,-6757,25086
653328587055061852,23859,-6697,25113
653328587062493816,23973,-6853,25257
653328587069925780,24042,-6759,25296
653328587077357744,24038,-6853,25428
653328587084789708,24138,-6774,25580
653328587092221672,24118,-6799,25548
653328587099653636,24100,-6847,25628
653328587107085600,24007,-6852,25568
653328587114517564,24080,-6829,25799
653328587121949528,24034,-6847,25817
653328587129381492,24033,-6819,25802
653328587136813456,24055,-6793,25771
653328587144245420,23940,-6795,25753
653328587151677384,23848,-6764,25869
653328587159109348,23892,-6782,25907
653328587166541312,23896,-6875,26035
653328587173834020,23879,-6923,26017
653328587181274176,23799,-6869,25891
653328587188714332,23755,-6877,25806
653328587196154488,23775,-6773,25914
653328587203594644,23922,-6756,25846
653328587211034800,23978,-6723,25737
653328587218474956,24066,-6740,25668
653328587225915112,24172,-6697,25623
653328587233355268,24273,-6576,25645
653328587240795424,24312,-6549,25605
653328587248235580,24229,-6731,25669
653328587255675736,24197,-5544,26666
653328587263115892,24310,-6133,25921
653328587270556048,24544,-6275,25726
653328587277996204,24527,-6360,25561
653328587285436360,25632,-5446,26592
653328587292876516,25117,-6006,25988
653328587300316672,24958,-6179,25811
653328587307834203,24652,-6498,25611
653328587315269808,25768,-6398,25708
653328587322705413,25128,-6341,25852
653328587330141018,25025,-6402,25965
653328587337576623,24933,-6452,26003
653328587345012228,24882,-6206,25971
653328587352447833,24845,-6337,26021
653328587359883438,24963,-6184,25972
653328587367319043,24879,-6341,25875
653328587374754648,24892,-6324,25964
653328587382190253,24816,-6208,25884
653328587389625858,24936,-6208,25904
653328587397061463,24931,-6174,25890
653328587404497068,24916,-6183,25936
653328587411932673,24972,-6284,25698
653328587419368278,24933,-6354,25749
653328587426803883,24828,-6427,25673
653328587434239488,24994,-6362,25707
653328587441690569,25130,-6702,25484
653328587449125264,24830,-6666,25270
653328587456559959,24836,-6692,25131
653328587463994654,24804,-6674,24974
653328587471429349,24708,-6658,25018
653328587478864044,24725,-6714,24931
653328587486298739,24770,-6700,24900
653328587493733434,24774,-6766,24898
653328587501168129,24798,-6721,24818
653328587508602824,24632,-6723,24781
653328587516037519,24555,-6745,24776
653328587523472214,24530,-6971,24730
653328587530906909,24467,-7032,24583
653328587538341604,24338,-7122,24458
653328587545776299,24106,-7216,24372
653328587553210994,24070,-7139,24230
653328587560645689,24120,-7237,24083
653328587568080384,23878,-7349,23933
653328587575468671,24076,-6530,23831
653328587582906096,23884,-7046,23633
653328587590343521,23743,-7296,23622
653328587597780946,23609,-7320,23445
653328587605218371,24578,-6472,24389
653328587612655796,24049,-6993,23755
653328587620093221,23832,-7352,23331
653328587627530646,23860,-7398,23273
653328587634968071,25006,-7353,23234
653328587642405496,24597,-7346,23212
653328587649842921,24464,-7248,23141
653328587657280346,24358,-7119,22952
653328587664717771,24516,-7283,22904
653328587672155196,24634,-7154,22892
653328587679592621,24703,-7041,22788
653328587687030046,24979,-7041,22833
653328587694467471,25033,-7041,22813
653328587701904896,25210,-6934,22868
653328587709357805,25215,-7075,23120
653328587716794320,25358,-7033,23075
653328587724230835,25311,-6851,23000
653328587731667350,25317,-6824,22822
653328587739103865,25503,-6782,22956
653328587746540380,25492,-6943,22849
653328587753976895,25605,-6916,22946
653328587761413410,25571,-6795,22831
653328587768849925,25607,-6845,22820
653328587776286440,25574,-6920,22880
653328587783722955,25731,-6952,22978
653328587791159470,25603,-6800,22860
653328587798595985,25545,-6954,22840
653328587806032500,25438,-6920,22978
653328587813469015,25409,-6828,22918
653328587820905530,25290,-6856,22961
653328587828342045,25180,-6905,22783
653328587835778560,25172,-6964,22667
653328587843215085,25068,-6933,22829
653328587850651600,25128,-7079,22679
653328587858088115,25001,-7145,22434
653328587865524630,25095,-6992,22616
653328587872961145,25121,-6924,22580
653328587880397660,25141,-6863,22683
653328587887834175,25196,-6842,22830
653328587895270690,25168,-6762,22996
653328587902707205,25342,-6595,23019
653328587910143720,25579,-6603,23128
653328587917580235,25611,-6487,23141
653328587925016750,25834,-5241,24318
653328587932453265,25844,-5822,23772
653328587939889780,25889,-6082,23533
653328587947326295,25924,-6181,23558
653328587954762810,27073,-5583,24708
653328587962199325,26623,-5977,24300
653328587969635840,26335,-5985,24215
653328587977087835,26014,-6054,24393
653328587984523440,26259,-6082,24339
653328587991959045,26387,-6060,24526
653328587999394650,26655,-6050,24538
653328588006830255,26737,-5963,24526
653328588014265860,26798,-5977,24694
653328588021701465,26895,-5963,24728
653328588029137070,26942,-6023,24548
653328588036572675,27090,-5950,24696
653328588044008280,27165,-5788,24669
653328588051443885,27188,-5825,24430
653328588058879490,27390,-5674,24484
653328588066315095,27457,-5729,24361
653328588073750700,27650,-5613,24374
653328588081186305,27632,-5610,24428
653328588088621910,27706,-5532,24322
653328588096057515,27836,-5480,24400
653328588103493120,28077,-5317,24561
653328588110913261,27993,-5471,24471
653328588118349776,28077,-5268,24570
653328588125786291,28126,-5135,24530
653328588133222806,28317,-5167,24638
653328588140659321,28337,-5044,24441
653328588148095836,28411,-5014,24375
653328588155532351,28506,-5012,24357
653328588162968866,28528,-4955,24181
653328588170405381,28579,-4888,24182
653328588177841896,28688,-4775,24096
653328588185278411,28773,-4876,24113
653328588192714926,28837,-4738,24109
653328588200151441,28847,-4856,24028
653328588207587956,28932,-4747,24133
653328588215024471,29013,-4676,24117
653328588222460986,29095,-4586,24218
653328588229897501,29155,-4528,24209
653328588237334016,29120,-4513,24184
653328588244816968,29257,-3728,25414
653328588252250752,29251,-4326,24828
653328588259684536,29272,-4394,24556
653328588267118320,29165,-4522,24429
653328588274552104,30220,-3486,25335
653328588281985888,29598,-4117,24845
653328588289419672,29284,-4411,24511
653328588296853456,29179,-4648,24369
653328588304287240,29996,-4858,24303
653328588311721024,29519,-4874,24225
653328588319154808,29232,-4854,24115
653328588326588592,28982,-5040,23981
653328588334022376,28921,-5009,23923
653328588341456160,28930,-5076,23883
653328588348889944,28992,-5127,23836
653328588356323728,29002,-5068,23794
653328588363757512,28918,-5093,23741
653328588371191296,28998,-5134,23719
653328588378547712,28733,-5428,23690
653328588385986048,28744,-5340,23662
653328588393424384,28825,-5199,23806
653328588400862720,28911,-5116,23824
653328588408301056,28823,-5175,23634
653328588415739392,28875,-5166,23608
653328588423177728,28755,-5078,23730
653328588430616064,28659,-5138,23662
653328588438054400,28638,-5329,23646
653328588445492736,28613,-5341,23584
653328588452931072,28680,-5310,23465
653328588460369408,28667,-5377,23450
653328588467807744,28445,-5407,23450
653328588475246080,28496,-5450,23474
