timestamp,ch1,ch2,ch3
653225930362817663,-69379,-105307,29838
653225930370257136,-69372,-105250,29969
653225930377696609,-69296,-105228,29911
653225930385136082,-69290,-105337,29903
653225930392575555,-69257,-105254,30031
653225930400015028,-69227,-105221,30041
653225930407454501,-69307,-105317,30092
653225930414893974,-69202,-105206,30140
653225930422333447,-69269,-105116,30042
653225930429772920,-69212,-105105,30142
653225930437212393,-69276,-105178,30208
653225930444651866,-69238,-105010,30209
653225930452091339,-69084,-105190,30314
653225930459530812,-69129,-105059,30220
653225930466970285,-68959,-104952,30306
653225930474409758,-69007,-104881,30210
653225930481849231,-69004,-104917,30313
653225930489288704,-69074,-104975,30239
653225930496756224,-69135,-104732,30579
653225930504194048,-68918,-104808,30526
653225930511631872,-68942,-104897,30485
653225930519069696,-68857,-104876,30413
653225930526507520,-68839,-104786,30468
653225930533945344,-68778,-104709,30595
653225930541383168,-68834,-104760,30631
653225930548820992,-68761,-104787,30802
653225930556258816,-68680,-104771,30723
653225930563696640,-68760,-104798,30667
653225930571134464,-68657,-104707,30669
653225930578572288,-68702,-104659,30825
653225930586010112,-68748,-104614,30764
653225930593447936,-68687,-104686,30747
653225930600885760,-68647,-104641,30784
653225930608323584,-68527,-104555,30837
653225930615761408,-68674,-104639,30819
653225930623199232,-68590,-104583,30839
653225930630695094,-68431,-104255,31184
653225930638129504,-68481,-104384,31071
653225930645563914,-68531,-104453,31009
653225930652998324,-68528,-104541,31147
653225930660432734,-68466,-104510,31032
653225930667867144,-68362,-104550,30974
653225930675301554,-68506,-104530,31093
653225930682735964,-68632,-104650,30976
653225930690170374,-68600,-104573,30925
653225930697604784,-68687,-104659,30834
653225930705039194,-68639,-104810,30892
653225930712473604,-68647,-104730,30869
653225930719908014,-68756,-104712,30829
653225930727342424,-68688,-104676,30818
653225930734776834,-68845,-104647,30784
653225930742211244,-68914,-104806,30724
653225930749645654,-68974,-104904,30627
653225930757080064,-69047,-104873,30647
653225930764427446,-68860,-104687,30700
653225930771866976,-69005,-104780,30653
653225930779306506,-69069,-104843,30624
653225930786746036,-69033,-104859,30521
653225930794185566,-69119,-104920,30612
653225930801625096,-69131,-104837,30666
653225930809064626,-69010,-104823,30736
653225930816504156,-69127,-104855,30732
653225930823943686,-69101,-104906,30647
653225930831383216,-69092,-104871,30637
653225930838822746,-69203,-104890,30579
653225930846262276,-69202,-104966,30547
653225930853701806,-69295,-104886,30580
653225930861141336,-69233,-104896,30513
653225930868580866,-69389,-104886,30549
653225930876020396,-69324,-104950,30573
653225930883459926,-69280,-104872,30542
653225930890899456,-69231,-104862,30604
6.53226E+17,-68976,-104975,30528
653225930905805824,-69080,-104943,30673
653225930913243648,-69121,-104854,30696
653225930920681472,-69182,-104859,30756
653225930928119296,-69155,-104932,30648
653225930935557120,-69184,-104805,30590
653225930942994944,-69140,-104808,30715
653225930950432768,-69243,-104862,30819
653225930957870592,-69206,-104848,30757
653225930965308416,-69078,-104778,30814
653225930972746240,-69062,-104811,30864
653225930980184064,-69027,-104718,30887
653225930987621888,-69066,-104886,30962
