timestamp ch1 ch2 ch3 ambient
653329272520338717 -43749 -67595 -58246 -350150
653329272527773412 -43764 -67557 -58258 -350191
653329272535208107 -43711 -67617 -58264 -350132
653329272542642802 -43762 -67570 -58317 -350256
653329272550077497 -43631 -67493 -58220 -350171
653329272557512192 -43744 -67614 -58167 -350204
653329272564946889 -43523 -67348 -58002 -350389
653329272572381584 -43626 -67530 -58144 -350317
653329272579816279 -43658 -67532 -58267 -350224
653329272587250974 -43624 -67431 -58139 -350091
653329272594685669 -43743 -67530 -58360 -350201
653329272602120364 -44013 -67564 -58467 -350216
653329272609555059 -43974 -67649 -58522 -350201
653329272616989754 -43825 -67543 -58444 -350077
653329272624424449 -44079 -67730 -58471 -350231
653329272631859144 -44022 -67810 -58518 -350228
653329272639293839 -43924 -67726 -58534 -350193
653329272646728534 -43720 -67712 -58660 -350252
653329272654163229 -44019 -67766 -58763 -350356
653329272661597924 -44045 -67766 -58842 -350334
653329272669032619 -44106 -67770 -58772 -350301
653329272676467314 -44112 -67764 -58860 -350319
653329272683902009 -44180 -67734 -58827 -350353
653329272691336704 -44241 -67745 -58857 -350252
653329272698771401 -44294 -67948 -58651 -350228
653329272706206096 -44268 -67911 -58840 -350296
653329272713640791 -44325 -67851 -58815 -350237
653329272721075486 -44407 -67877 -58757 -350289
653329272728510181 -44230 -67993 -58781 -350162
653329272735944876 -44328 -67929 -58845 -350257
653329272743379571 -44239 -67890 -58846 -350377
653329272750814266 -44135 -67820 -58763 -350309
653329272758248961 -44041 -66749 -57497 -349412
653329272765683656 -44004 -67393 -58137 -349898
653329272773118351 -44058 -67731 -58416 -350143
653329272780553046 -44078 -67792 -58548 -350259
653329272787987741 -42981 -66766 -57411 -349158
653329272795422436 -43521 -67522 -58017 -349796
653329272802857131 -43837 -67753 -58438 -350070
653329272810291826 -43909 -67853 -58448 -350125
653329272817726521 -43496 -67914 -58538 -350228
653329272825161216 -43828 -68022 -58669 -350337
653329272832534016 -44273 -68265 -58409 -350371
653329272839972352 -44130 -68127 -58561 -350240
653329272847410688 -44260 -68173 -58749 -350250
653329272854849024 -44215 -68313 -58843 -350317
653329272862287360 -44271 -68326 -58910 -350423
653329272869725696 -44230 -68299 -59019 -350370
653329272877164032 -44317 -68424 -59138 -350396
653329272884602368 -44401 -68445 -59006 -350367
653329272892040704 -44450 -68514 -59026 -350344
653329272899479040 -44576 -68546 -59037 -350321
653329272906917376 -44395 -68491 -58892 -350169
653329272914355712 -44454 -68583 -59199 -350270
653329272921794048 -44479 -68603 -59194 -350229
653329272929232384 -44358 -68543 -59150 -350190
653329272936670720 -44285 -68609 -59012 -350036
653329272944109056 -44469 -68713 -59236 -350217
653329272951547392 -44559 -68764 -59275 -350257
653329272958985728 -44508 -68685 -59313 -350187
653329272966485961 -44359 -68468 -59521 -350077
653329272973920656 -44550 -68637 -59545 -350263
653329272981355351 -44453 -68526 -59490 -350248
653329272988790046 -44571 -68726 -59485 -350147
653329272996224741 -44690 -68868 -59592 -350321
653329273003659436 -44665 -68823 -59630 -350349
653329273011094131 -44752 -68774 -59578 -350275
653329273018528826 -44753 -68888 -59501 -350251
653329273025963521 -44708 -68958 -59581 -350277
653329273033398216 -44734 -69042 -59554 -350271
653329273040832911 -44788 -68925 -59524 -350183
653329273048267606 -44638 -68877 -59418 -350185
653329273055702301 -44729 -68922 -59542 -350235
653329273063136996 -44617 -68975 -59602 -350369
653329273070571691 -44610 -68959 -59537 -350306
653329273078006386 -44438 -67897 -58462 -349198
653329273085441081 -44628 -68514 -59076 -349755
653329273092875776 -44665 -68733 -59407 -350030
653329273100372370 -44506 -69005 -59453 -350299
653329273107803424 -43379 -68043 -58433 -349159
653329273115234478 -44067 -68523 -59032 -349793
653329273122665532 -44435 -68843 -59280 -350091
653329273130096586 -44462 -68877 -59369 -350173
653329273137527640 -44333 -68913 -59492 -350111
653329273144958694 -44390 -69102 -59528 -350220
653329273152389748 -44469 -69132 -59589 -350245
653329273159820802 -44550 -69112 -59691 -350308
653329273167251856 -44513 -68993 -59695 -350180
653329273174682910 -44611 -69043 -59727 -350324
653329273182113964 -44550 -69058 -59580 -350231
653329273189545018 -44612 -69087 -59732 -350262
653329273196976072 -44636 -69144 -59640 -350223
653329273204407126 -44664 -69199 -59763 -350195
653329273211838180 -44605 -69169 -59780 -350246
653329273219269234 -44643 -69208 -59662 -350275
653329273226700288 -44651 -69029 -59651 -350151
653329273233945672 -44760 -69355 -60048 -350328
653329273241387648 -44719 -69186 -60005 -350301
653329273248829624 -44683 -69196 -59880 -350242
653329273256271600 -44635 -69219 -59728 -350117
653329273263713576 -44815 -69319 -59794 -350274
653329273271155552 -44764 -69301 -59881 -350335
653329273278597528 -44725 -69136 -59980 -350251
653329273286039504 -44737 -69240 -59906 -350246
653329273293481480 -44703 -69322 -59937 -350218
653329273300923456 -44813 -69215 -59939 -350207
653329273308365432 -44793 -69249 -59906 -350171
653329273315807408 -44861 -69159 -59844 -350213
653329273323249384 -44898 -69206 -59904 -350244
653329273330691360 -44763 -69222 -59948 -350289
653329273338133336 -44744 -69196 -59862 -350128
653329273345575312 -44870 -69323 -59989 -350193
653329273353017288 -44892 -69409 -59965 -350308
653329273360459264 -44736 -69256 -60058 -350143
653329273368086930 -44881 -69027 -59870 -350116
653329273375517984 -44841 -69192 -60052 -350248
653329273382949038 -44874 -69336 -60019 -350233
653329273390380092 -44829 -69193 -59964 -350239
653329273397811146 -44861 -68223 -58890 -349214
653329273405242200 -44929 -68863 -59482 -349844
653329273412673254 -44898 -69109 -59808 -350061
653329273420104308 -44817 -69083 -59779 -350049
653329273427535362 -43703 -68346 -58888 -349175
653329273434966416 -44261 -68859 -59527 -349751
653329273442397470 -44551 -69032 -59762 -349980
653329273449828524 -44606 -69188 -59895 -350071
653329273457259578 -44641 -69231 -59974 -350136
653329273464690632 -44751 -69393 -60022 -350267
653329273472121686 -44716 -69376 -60094 -350266
653329273479552740 -44664 -69243 -60000 -350215
653329273486983794 -44790 -69370 -60025 -350274
653329273494414848 -44852 -69494 -60048 -350337
653329273501784009 -44741 -69404 -60072 -350421
653329273509218704 -44701 -69348 -60047 -350274
653329273516653399 -44786 -69337 -60110 -350207
653329273524088094 -44892 -69536 -60168 -350212
653329273531522789 -44957 -69453 -60159 -350289
653329273538957484 -44794 -69525 -60234 -350190
653329273546392179 -44731 -69323 -60000 -350074
653329273553826874 -44852 -69568 -60194 -350183
653329273561261569 -44952 -69554 -60216 -350184
653329273568696264 -45097 -69667 -60268 -350257
653329273576130959 -45121 -69700 -60384 -350085
653329273583565654 -45160 -69842 -60487 -350181
653329273591000349 -45209 -69913 -60492 -350171
653329273598435044 -45266 -69833 -60323 -350248
653329273605869739 -45366 -69955 -60569 -350230
653329273613304434 -45487 -70124 -60617 -350298
653329273620739129 -45501 -70080 -60770 -350252
653329273628173824 -45467 -70093 -60762 -350173
653329273635608521 -45727 -69987 -60613 -350188
653329273643043216 -45612 -70112 -60858 -350246
653329273650477911 -45721 -70219 -60866 -350253
653329273657912606 -45742 -70354 -61067 -350258
653329273665347301 -45851 -70422 -61173 -350360
653329273672781996 -45804 -70417 -61224 -350420
653329273680216691 -45775 -70442 -61216 -350190
653329273687651386 -45931 -70563 -61056 -350228
653329273695086081 -45872 -70705 -61216 -350305
653329273702520776 -45906 -70725 -61250 -350262
653329273709955471 -45965 -70645 -61361 -350216
653329273717390166 -45921 -69681 -60319 -349158
653329273724824861 -45955 -70430 -60807 -349826
653329273732259556 -45993 -70596 -61199 -350068
653329273739694251 -45924 -70631 -61363 -350116
653329273747128946 -44862 -70044 -60371 -349073
653329273754563641 -45518 -70508 -60955 -349733
653329273761998336 -45873 -70854 -61268 -349861
653329273769433033 -46080 -70718 -61553 -350131
653329273776867728 -46132 -70836 -61653 -350255
653329273784302423 -46317 -71023 -61791 -350268
653329273791737118 -46256 -71180 -61659 -350225
653329273799171813 -46158 -71109 -61753 -350208
653329273806606508 -46137 -71063 -61710 -350169
653329273814041203 -46294 -71211 -61843 -350283
653329273821475898 -46384 -71298 -61857 -350327
653329273828910593 -46354 -71307 -61832 -350253
653329273836345288 -46367 -71233 -61899 -350217
653329273843779983 -46503 -71209 -61992 -350277
653329273851214678 -46408 -71445 -61958 -350280
653329273858649373 -46424 -71422 -61941 -350268
653329273866084068 -46357 -71330 -61800 -350156
653329273873518763 -46640 -71422 -62055 -350247
653329273880953458 -46618 -71486 -62087 -350257
653329273888388153 -46692 -71494 -62006 -350173
653329273895822848 -46473 -71529 -61924 -350120
653329273903133768 -46658 -71752 -62195 -350108
653329273910575744 -46732 -71603 -62103 -350248
653329273918017720 -46654 -71558 -62148 -350213
653329273925459696 -46809 -71587 -62206 -350279
653329273932901672 -46782 -71634 -62196 -350344
653329273940343648 -46713 -71671 -62168 -350251
653329273947785624 -46643 -71559 -62219 -350207
653329273955227600 -46807 -71738 -62398 -350248
653329273962669576 -46876 -71663 -62393 -350264
653329273970111552 -46811 -71689 -62337 -350324
653329273977553528 -46836 -71700 -62476 -350273
653329273984995504 -46858 -71742 -62507 -350291
653329273992437480 -46925 -71694 -62516 -350297
653329273999879456 -46845 -71744 -62452 -350263
653329274007321432 -46843 -71840 -62552 -350268
653329274014763408 -46881 -71893 -62497 -350303
653329274022205384 -46964 -71815 -62508 -350296
653329274029647360 -46924 -71824 -62612 -350248
653329274037275026 -46483 -70550 -61230 -349383
653329274044706080 -46813 -71346 -61893 -349934
653329274052137134 -46951 -71740 -62293 -350092
653329274059568188 -46869 -71836 -62503 -350100
653329274066999242 -45789 -71401 -61505 -349124
653329274074430296 -46434 -71655 -62166 -349789
653329274081861350 -46881 -71829 -62465 -350028
653329274089292404 -46901 -71978 -62594 -350149
653329274096723458 -47044 -71887 -62662 -350223
653329274104154512 -47092 -71968 -62771 -350316
653329274111585566 -47178 -72059 -62754 -350300
653329274119016620 -47201 -72027 -62748 -350256
653329274126447674 -47116 -71986 -62781 -350286
653329274133878728 -47215 -72075 -62842 -350325
653329274141309782 -47207 -72075 -62859 -350343
653329274148740836 -47142 -72222 -62686 -350294
653329274156171890 -47171 -72044 -62832 -350281
653329274163602944 -47170 -72038 -62840 -350344
653329274170972105 -47078 -72285 -62653 -350298
653329274178406800 -47199 -72253 -62801 -350270
653329274185841495 -47049 -72008 -62772 -350130
653329274193276190 -47246 -72122 -62878 -350277
653329274200710885 -47208 -72166 -62902 -350281
653329274208145580 -47183 -72102 -62956 -350289
653329274215580275 -47085 -72201 -62887 -350165
653329274223014970 -47156 -72204 -62907 -350280
653329274230449665 -47183 -72081 -62970 -350239
653329274237884360 -47142 -72078 -62873 -350200
653329274245319055 -47291 -72070 -62993 -350232
653329274252753750 -47168 -72122 -62986 -350318
653329274260188445 -47287 -72111 -62944 -350240
653329274267623140 -47330 -72093 -63046 -350224
653329274275057835 -47475 -72207 -63025 -350273
653329274282492530 -47351 -72149 -63052 -350223
653329274289927225 -47278 -72175 -62891 -350271
653329274297361920 -47182 -72086 -62918 -350269
653329274304734720 -47424 -71949 -62995 -350543
653329274312173056 -47325 -72102 -62995 -350355
653329274319611392 -47197 -72145 -62994 -350338
653329274327049728 -47258 -72196 -63053 -350283
653329274334488064 -47361 -72177 -63106 -350290
653329274341926400 -47393 -72344 -62943 -350327
653329274349364736 -47501 -72482 -62961 -350237
653329274356803072 -47255 -71305 -62028 -349185
653329274364241408 -47492 -72023 -62673 -349701
653329274371679744 -47476 -72242 -62954 -349994
653329274379118080 -47542 -72372 -63161 -350151
653329274386556416 -46472 -71873 -62234 -349123
653329274393994752 -47235 -72406 -63072 -349859
653329274401433088 -47552 -72577 -63316 -350082
653329274408871424 -47743 -72726 -63471 -350167
653329274416309760 -47849 -72900 -63478 -350165
653329274423748096 -47925 -72950 -63639 -350318
653329274431186432 -47978 -72983 -63819 -350281
653329274438748562 -48366 -72976 -63642 -350321
653329274446179616 -48282 -73145 -63814 -350326
653329274453610670 -48296 -73170 -63899 -350335
653329274461041724 -48223 -73192 -63991 -350282
653329274468472778 -48246 -73329 -64085 -350305
653329274475903832 -48414 -73276 -64166 -350304
653329274483334886 -48368 -73485 -64135 -350222
653329274490765940 -48368 -73362 -64209 -350288
653329274498196994 -48494 -73440 -64260 -350147
653329274505628048 -48386 -73384 -64196 -350179
653329274513059102 -48487 -73469 -64397 -350237
653329274520490156 -48580 -73531 -64320 -350305
653329274527921210 -48684 -73599 -64369 -350285
653329274535352264 -48531 -73769 -64314 -350138
653329274542783318 -48649 -73767 -64467 -350317
653329274550214372 -48837 -73788 -64622 -350287
653329274557645426 -48848 -73791 -64706 -350205
653329274565076480 -48752 -73820 -64784 -350302
653329274572445641 -48693 -73514 -64707 -350068
653329274579880336 -48770 -73672 -64749 -350145
653329274587315031 -48828 -73838 -64723 -350206
653329274594749726 -48889 -73860 -64857 -350297
653329274602184421 -48865 -73901 -64816 -350281
653329274609619116 -48898 -73888 -64775 -350289
653329274617053811 -48941 -74228 -64569 -350287
653329274624488506 -48989 -74211 -64835 -350309
653329274631923201 -48943 -74001 -64904 -350248
653329274639357896 -49050 -74064 -64806 -350242
653329274646792591 -49080 -74200 -64843 -350230
653329274654227286 -49150 -74199 -65003 -350301
653329274661661981 -49121 -74126 -65053 -350334
653329274669096676 -49204 -74222 -64983 -350285
653329274676531371 -49233 -73108 -64068 -349226
653329274683966066 -49222 -73727 -64619 -349839
653329274691400761 -49306 -73991 -64872 -350071
653329274698835456 -49258 -74144 -65014 -350176
653329274706208256 -47936 -73358 -63793 -349368
