timestamp,ch1,ch2,ch3
653329022034315666,-41858,-70104,-65262
653329022041746720,-41867,-70082,-65233
653329022049177774,-41880,-70307,-65166
653329022056608828,-41977,-70313,-65141
653329022064039882,-41916,-70172,-65183
653329022071470936,-41887,-70179,-65223
653329022078901990,-41918,-70151,-65285
653329022086333044,-42033,-70112,-65125
653329022093764098,-41813,-70007,-65167
653329022101195152,-41821,-70202,-65303
653329022108626206,-41899,-70212,-65340
653329022116057260,-41823,-70183,-65340
653329022123488314,-41553,-69830,-64943
653329022130919368,-41741,-70032,-65121
653329022138350422,-41882,-70052,-65258
653329022145781476,-41983,-70192,-65272
653329022153212530,-41760,-70089,-65251
653329022160643584,-41840,-70016,-65164
653329022167888968,-41669,-69881,-64979
653329022175330944,-41684,-69973,-65076
653329022182772920,-41973,-69963,-65120
653329022190214896,-41884,-69935,-65171
653329022197656872,-41886,-69930,-65171
653329022205098848,-41921,-69882,-65123
653329022212540824,-41810,-69961,-65090
653329022219982800,-41844,-69899,-65154
653329022227424776,-41843,-69978,-65235
653329022234866752,-41779,-70002,-65150
653329022242308728,-41711,-69898,-65070
653329022249750704,-41680,-69904,-65132
653329022257192680,-41631,-69869,-65025
653329022264634656,-41632,-69297,-64978
653329022272076632,-41608,-69483,-64906
653329022279518608,-41663,-69645,-64952
653329022286960584,-41538,-69746,-64886
653329022294402560,-40404,-68491,-63516
653329022302030226,-40729,-69306,-64219
653329022309461280,-41142,-69479,-64414
653329022316892334,-41375,-69635,-64665
653329022324323388,-40104,-69512,-63961
653329022331754442,-40890,-69481,-64319
653329022339185496,-41109,-69500,-64487
653329022346616550,-41254,-69443,-64586
653329022354047604,-41253,-69430,-64607
653329022361478658,-41297,-69433,-64478
653329022368909712,-41330,-69438,-64500
653329022376340766,-41373,-69466,-64553
653329022383771820,-41270,-69349,-64526
653329022391202874,-41172,-69351,-64392
653329022398633928,-41036,-69368,-64432
653329022406064982,-41081,-69456,-64458
653329022413496036,-41138,-69226,-64431
653329022420927090,-41053,-69317,-64368
653329022428358144,-41140,-69186,-64466
653329022435665408,-40899,-69043,-64315
653329022443103744,-40769,-68947,-64100
653329022450542080,-40903,-69050,-64272
653329022457980416,-40939,-69213,-64323
653329022465418752,-40936,-69171,-64336
653329022472857088,-40660,-69131,-64301
653329022480295424,-40915,-69136,-64335
653329022487733760,-41126,-69181,-64424
653329022495172096,-40991,-69129,-64386
653329022502610432,-41011,-69117,-64287
653329022510048768,-41058,-69221,-64206
653329022517487104,-41169,-69419,-64392
653329022524925440,-41212,-69287,-64435
653329022532363776,-41199,-69456,-64379
