timestamp,ch1,ch2,ch3
653329438324368896,-57850,-76218,-73440
653329438331807232,-58187,-76149,-73426
653329438339245568,-58269,-75991,-73338
653329438346683904,-58278,-76155,-73462
653329438354122240,-58343,-76058,-73542
653329438361560576,-58249,-75942,-73411
653329438368998912,-58240,-75976,-73462
653329438376437248,-58263,-76010,-73448
653329438383875584,-58318,-76089,-73442
653329438391313920,-58377,-76060,-73358
653329438398752256,-58308,-76146,-73398
653329438406190592,-58403,-75955,-73274
653329438413628928,-58350,-76047,-73349
653329438421067264,-58291,-75960,-73283
653329438428505600,-58218,-76029,-73330
653329438435943936,-58083,-75938,-73229
653329438443382272,-58334,-75927,-73333
653329438450820608,-58177,-75919,-73301
653329438458320841,-58556,-76097,-73320
653329438465755536,-58385,-76071,-73330
653329438473190231,-58261,-76108,-73376
653329438480624926,-58294,-76137,-73390
653329438488059621,-58210,-76148,-73450
653329438495494316,-58436,-76155,-73463
653329438502929011,-58395,-76143,-73469
653329438510363706,-58336,-75968,-73378
653329438517798401,-58435,-76028,-73467
653329438525233096,-58446,-76104,-73471
653329438532667791,-58410,-76080,-73520
653329438540102486,-58449,-76120,-73454
653329438547537181,-58435,-76089,-73470
653329438554971876,-58416,-76226,-73493
653329438562406571,-58374,-76119,-73469
653329438569841266,-58416,-76057,-73504
653329438577275961,-58449,-75011,-72514
653329438584710656,-58397,-75704,-73067
653329438592083456,-58438,-75766,-73075
653329438599521792,-58397,-75868,-73283
653329438606960128,-57359,-74848,-72224
653329438614398464,-58038,-75601,-72894
653329438621836800,-58166,-75910,-73279
653329438629275136,-58315,-75973,-73357
653329438636713472,-57589,-76122,-73459
653329438644151808,-58134,-76182,-73504
653329438651590144,-58224,-76208,-73496
653329438659028480,-58390,-76098,-73430
653329438666466816,-58376,-76224,-73531
653329438673905152,-58463,-76211,-73550
653329438681343488,-58391,-76190,-73525
653329438688781824,-58379,-76225,-73451
653329438696220160,-58351,-76240,-73512
653329438703658496,-58450,-76212,-73667
653329438711096832,-58625,-76358,-73665
653329438718535168,-58558,-76281,-73743
653329438726097298,-58323,-75965,-73761
653329438733528352,-58518,-76205,-73875
653329438740959406,-58681,-76282,-73844
653329438748390460,-58761,-76368,-73817
653329438755821514,-58659,-76414,-73799
653329438763252568,-58790,-76514,-73936
653329438770683622,-58858,-76586,-74144
653329438778114676,-58839,-76440,-74109
653329438785545730,-58793,-76633,-74092
653329438792976784,-58957,-76567,-74219
653329438800407838,-58855,-76588,-74133
653329438807838892,-59024,-76546,-74284
653329438815269946,-59012,-76682,-74236
6.53329E+17,-59019,-76609,-74300
653329438830132054,-59029,-76648,-74305
653329438837563108,-58998,-76560,-74336
653329438844994162,-59113,-76552,-74349
653329438852425216,-59035,-76625,-74293
653329438859670600,-59120,-76376,-74059
653329438867112576,-59122,-76635,-74131
653329438874554552,-59131,-76764,-74295
653329438881996528,-59050,-76831,-74221
653329438889438504,-59103,-76687,-74120
653329438896880480,-59156,-75563,-73039
653329438904322456,-59139,-76433,-73885
653329438911764432,-59160,-76549,-74065
653329438919206408,-59097,-76729,-74190
653329438926648384,-58054,-75647,-73110
653329438934090360,-58634,-76372,-73600
653329438941532336,-58940,-76567,-73921
653329438948974312,-58959,-76649,-74174
653329438956416288,-58408,-76772,-74323
653329438963858264,-58809,-76842,-74182
653329438971300240,-58932,-76773,-74215
653329438978742216,-59093,-76752,-74285
653329438986184192,-59095,-76890,-74340
653329438993811858,-58847,-76608,-74239
653329439001242912,-59018,-76723,-74359
653329439008673966,-59109,-76733,-74391
653329439016105020,-59235,-76782,-74378
653329439023536074,-59200,-76901,-74481
653329439030967128,-59183,-76892,-74372
653329439038398182,-59113,-76777,-74427
653329439045829236,-59316,-76721,-74268
653329439053260290,-59327,-76779,-74350
653329439060691344,-59321,-76773,-74494
653329439068122398,-59304,-76864,-74482
653329439075553452,-59334,-76986,-74366
653329439082984506,-59268,-76955,-74419
653329439090415560,-59366,-76945,-74542
653329439097846614,-59415,-77034,-74562
653329439105277668,-59493,-76973,-74433
653329439112708722,-59546,-76924,-74542
653329439120139776,-59449,-76883,-74613
653329439127508937,-59172,-76740,-74810
653329439134943632,-59347,-76810,-74690
653329439142378327,-59377,-76957,-74652
653329439149813022,-59338,-77109,-74702
653329439157247717,-59458,-77008,-74619
653329439164682412,-59507,-77059,-74754
653329439172117107,-59437,-76992,-74671
653329439179551802,-59415,-77020,-74659
653329439186986497,-59423,-77004,-74726
653329439194421192,-59582,-77076,-74653
653329439201855887,-59456,-76950,-74625
653329439209290582,-59383,-76960,-74697
653329439216725277,-59542,-75831,-73645
653329439224159972,-59512,-76521,-74127
653329439231594667,-59406,-76903,-74280
653329439239029362,-59433,-76881,-74518
653329439246464057,-58294,-75940,-73520
653329439253898752,-58929,-76515,-74080
653329439261271552,-59255,-76813,-74255
653329439268709888,-59360,-76937,-74407
653329439276148224,-58627,-76951,-74605
653329439283586560,-59011,-76963,-74575
653329439291024896,-59240,-76926,-74586
653329439298463232,-59422,-76969,-74673
653329439305901568,-59378,-77020,-74678
653329439313339904,-59348,-76880,-74475
653329439320778240,-59511,-76820,-74512
653329439328216576,-59452,-76927,-74503
653329439335654912,-59580,-76941,-74504
653329439343093248,-59522,-76961,-74475
653329439350531584,-59390,-77004,-74476
653329439357969920,-59363,-77066,-74489
653329439365408256,-59138,-76757,-74340
653329439372846592,-59244,-76874,-74342
653329439380284928,-59301,-76873,-74376
653329439387723264,-59361,-76830,-74446
653329439395285394,-59501,-76860,-74119
653329439402716448,-59509,-76855,-74332
653329439410147502,-59313,-76941,-74378
653329439417578556,-59241,-76950,-74422
653329439425009610,-59334,-76950,-74526
653329439432440664,-59246,-76911,-74431
653329439439871718,-59181,-76887,-74342
653329439447302772,-59272,-76923,-74473
653329439454733826,-59278,-76930,-74473
653329439462164880,-59244,-76899,-74492
653329439469595934,-59281,-76833,-74327
653329439477026988,-59258,-76888,-74332
653329439484458042,-59446,-76824,-74486
653329439491889096,-59338,-76836,-74443
653329439499320150,-59293,-76963,-74369
653329439506751204,-59310,-76870,-74433
653329439514182258,-59306,-76962,-74442
653329439521613312,-59340,-76892,-74555
653329439528858696,-59278,-76878,-74293
653329439536300672,-59519,-75812,-73274
653329439543742648,-59476,-76543,-73931
653329439551184624,-59336,-76753,-74237
653329439558626600,-59352,-76843,-74342
653329439566068576,-58390,-75906,-73297
653329439573510552,-59050,-76670,-73970
653329439580952528,-59254,-76931,-74237
653329439588394504,-59358,-76979,-74470
653329439595836480,-58927,-77054,-74505
653329439603278456,-59267,-77111,-74527
