timestamp,red,green,ir,,,,
20577,157587,37632,191994,,,,
20586,157581,37642,191968,,,,
20596,157582,37625,191990,,,,
20607,157595,37632,192001,,,,
20617,157600,37635,191995,,,,
20627,157588,37655,192018,,,,
20637,157594,37642,192019,,,,
20647,157610,37637,192013,,,,
20657,157588,37636,192059,,,,
20667,157601,37633,192043,,,,
20677,157631,37644,192035,,,,
20687,157602,37631,192044,,,,
20697,157611,37642,192049,,,,
20707,157592,37628,192028,,,,
20716,157589,37629,192032,,,,
20729,157568,37643,192047,,,,
20737,157598,37646,192052,,,,
20747,157604,37642,192043,,,,
20756,157602,37645,192031,,,,
20767,157593,37646,192036,,,,
20777,157600,37658,192022,,,,
20787,157584,37648,192058,,,,
20796,157597,37635,192040,,,,
20806,157606,37661,192043,,,,
20816,157598,37637,192046,,,,
20829,157597,37641,192053,,,,
20837,157598,37646,192051,,,,
20847,157589,37661,192068,,,,
20857,157607,37655,192062,,,,
20867,157610,37638,192057,,,,
20876,157616,37651,192050,,,,
20886,157615,37652,192082,,,,
20896,157614,37644,192084,,,,
20907,157617,37663,192106,,,,
20916,157630,37662,192069,,,,
20926,157632,37668,192111,,,,
20937,157638,37662,192122,,,,
20947,157631,37665,192118,,,,
20957,157637,37679,192123,,,,
20966,157644,37676,192136,,,,
20976,157625,37672,192152,,,,
20987,157660,37675,192153,,,,
20997,157653,37685,192140,,,,
21007,157646,37663,192143,,,,
21017,157649,37694,192136,,,,
21027,157613,37694,192132,,,,
21037,157626,37698,192153,,,,
21046,157635,37701,192147,,,,
21056,157629,37721,192151,,,,
21066,157632,37707,192150,,,,
21077,157606,37707,192162,,,,
21087,157601,37723,192158,,,,
21097,157618,37714,192151,,,,
21107,157601,37713,192138,,,,
21117,157600,37722,192153,,,,
21126,157577,37715,192138,,,,
21136,157589,37719,192139,,,,
21146,157590,37711,192140,,,,
21157,157592,37739,192139,,,,
21166,157581,37718,192142,,,,
21176,157593,37716,192137,,,,
21187,157600,37723,192145,,,,
21197,157592,37710,192142,,,,
21207,157571,37729,192135,,,,
21216,157574,37733,192150,,,,
21226,157570,37728,192151,,,,
21236,157555,37743,192125,,,,
21246,157566,37738,192123,,,,
21256,157569,37739,192142,,,,
21266,157558,37752,192126,,,,
21276,157560,37739,192150,,,,
21286,157577,37758,192137,,,,
21296,157561,37757,192183,,,,
21306,157598,37755,192158,,,,
21316,157576,37751,192192,,,,
21326,157599,37760,192188,,,,
21336,157595,37747,192214,,,,
21346,157589,37749,192203,,,,
21356,157616,37755,192194,,,,
21366,157593,37732,192199,,,,
21376,157595,37721,192200,,,,
21387,157577,37719,192205,,,,
21397,157589,37701,192194,,,,
21407,157563,37703,192170,,,,
21416,157567,37691,192195,,,,
21426,157568,37705,192191,,,,
21436,157564,37694,192158,,,,
21446,157563,37670,192180,,,,
21457,157554,37691,192158,,,,
21466,157538,37678,192178,,,,
21476,157548,37697,192179,,,,
21486,157557,37674,192174,,,,
21496,157558,37693,192183,,,,
21506,157551,37678,192176,,,,
21516,157555,37664,192219,,,,
21526,157559,37678,192209,,,,
21536,157547,37646,192178,,,,
21546,157562,37670,192185,,,,
21556,157551,37685,192193,,,,
21566,157527,37675,192174,,,,
21577,157544,37682,192191,,,,
21586,157505,37687,192173,,,,
21596,157527,37682,192167,,,,
21606,157512,37684,192163,,,,
21616,157506,37678,192161,,,,
21626,157515,37675,192163,,,,
21636,157503,37679,192141,,,,
21646,157503,37673,192168,,,,
21657,157518,37675,192141,,,,
21666,157491,37682,192158,,,,
21676,157495,37699,192140,,,,
21686,157457,37673,192132,,,,
21696,157473,37676,192115,,,,
21706,157469,37687,192120,,,,
21716,157446,37670,192132,,,,
21726,157467,37690,192112,,,,
21736,157468,37673,192127,,,,
21746,157448,37688,192118,,,,
21755,157460,37679,192119,,,,
21766,157438,37681,192111,,,,
21776,157447,37682,192110,,,,
21786,157442,37678,192080,,,,
21795,157411,37702,192115,,,,
21805,157431,37697,192129,,,,
21816,157452,37678,192103,,,,
21827,157433,37692,192113,,,,
21836,157430,37699,192092,,,,
21846,157416,37699,192085,,,,
21856,157417,37696,192114,,,,
21866,157408,37686,192082,,,,
21876,157385,37697,192111,,,,
21886,157418,37696,192105,,,,
21896,157380,37706,192110,,,,
21906,157391,37696,192101,,,,
21916,157385,37703,192083,,,,
21926,157393,37694,192078,,,,
21936,157376,37704,192094,,,,
21946,157379,37715,192097,,,,
21957,157377,37710,192088,,,,
21966,157370,37713,192094,,,,
21976,157375,37695,192069,,,,
21986,157346,37718,192081,,,,
21996,157355,37707,192051,,,,
22006,157336,37699,192080,,,,
22016,157346,37700,192070,,,,
22026,157312,37720,192075,,,,
22036,157323,37731,192069,,,,
22046,157330,37721,192044,,,,
22056,157318,37714,192044,,,,
22066,157307,37724,192056,,,,
22076,157307,37725,192060,,,,
22085,157300,37718,192039,,,,
22095,157288,37701,192030,,,,
22106,157271,37715,192037,,,,
22116,157303,37730,192013,,,,
22125,157301,37740,192009,,,,
22136,157262,37738,192011,,,,
22146,157284,37727,191986,,,,
22156,157271,37742,192020,,,,
22166,157280,37729,192029,,,,
22175,157267,37725,192031,,,,
22189,157280,37728,192022,,,,
22196,157274,37727,192018,,,,
22206,157264,37717,192018,,,,
22216,157272,37719,192031,,,,
22226,157274,37713,192026,,,,
22236,157254,37711,192039,,,,
22246,157274,37691,192005,,,,
22255,157263,37667,192021,,,,
22265,157242,37692,192032,,,,
22276,157261,37671,192011,,,,
22286,157258,37681,191984,,,,
22295,157232,37669,191992,,,,
22305,157243,37651,191975,,,,
22315,157232,37636,191985,,,,
22325,157232,37646,191971,,,,
22335,157208,37641,191953,,,,
22345,157216,37649,191946,,,,
22356,157194,37626,191935,,,,
22366,157188,37622,191943,,,,
22375,157194,37637,191941,,,,
22385,157207,37631,191926,,,,
22396,157200,37620,191922,,,,
22406,157175,37619,191925,,,,
22416,157173,37624,191898,,,,
22425,157205,37618,191908,,,,
22435,157165,37616,191925,,,,
22445,157178,37615,191910,,,,
22456,157175,37608,191916,,,,
22465,157169,37611,191901,,,,
22475,157172,37601,191901,,,,
22485,157156,37608,191903,,,,
22496,157155,37610,191888,,,,
22505,157158,37605,191894,,,,
22515,157156,37589,191880,,,,
22526,157145,37595,191882,,,,
22536,157158,37608,191848,,,,
22545,157160,37591,191853,,,,
22555,157144,37605,191876,,,,
22566,157139,37610,191862,,,,
22576,157138,37608,191881,,,,
22585,157142,37600,191872,,,,
22595,157113,37608,191878,,,,
22606,157128,37597,191865,,,,
22616,157121,37607,191862,,,,
22625,157115,37605,191822,,,,
22635,157109,37614,191810,,,,
22645,157108,37605,191837,,,,
22655,157104,37595,191829,,,,
22666,157084,37605,191842,,,,
22674,157106,37592,191833,,,,
22685,157093,37597,191834,,,,
22695,157102,37604,191828,,,,
22705,157090,37608,191801,,,,
22715,157081,37604,191819,,,,
22725,157101,37611,191818,,,,
22735,157091,37591,191803,,,,
22746,157081,37614,191799,,,,
22755,157091,37624,191791,,,,
22765,157084,37609,191786,,,,
22776,157082,37610,191798,,,,
22786,157072,37609,191780,,,,
22795,157069,37600,191772,,,,
22805,157069,37606,191784,,,,
22815,157069,37615,191781,,,,
22825,157061,37612,191752,,,,
22834,157072,37606,191771,,,,
22844,157082,37617,191748,,,,
22855,157065,37632,191780,,,,
22865,157053,37610,191774,,,,
22875,157054,37619,191749,,,,
22885,157063,37609,191735,,,,
22895,157044,37627,191759,,,,
22905,157057,37624,191765,,,,
22916,157042,37629,191758,,,,
22925,157064,37629,191754,,,,
22935,157026,37625,191751,,,,
22945,157050,37630,191746,,,,
22956,157048,37631,191746,,,,
22965,157059,37634,191759,,,,
22975,157059,37629,191752,,,,
22985,157057,37629,191743,,,,
22996,157080,37624,191740,,,,
23005,157037,37634,191733,,,,
23015,157047,37618,191734,,,,
23025,157045,37629,191735,,,,
23035,157050,37635,191713,,,,
23044,157050,37637,191715,,,,
23055,157059,37624,191711,,,,
23065,157053,37645,191715,,,,
23075,157041,37642,191725,,,,
23084,157060,37639,191709,,,,
23095,157066,37624,191705,,,,
23105,157058,37628,191696,,,,
23115,157074,37616,191725,,,,
23125,157086,37609,191734,,,,
23135,157084,37610,191728,,,,
23145,157093,37609,191758,,,,
23155,157101,37590,191726,,,,
23165,157074,37588,191716,,,,
23175,157081,37577,191710,,,,
23185,157049,37571,191688,,,,
23195,157062,37568,191679,,,,
23205,157049,37569,191692,,,,
23214,157042,37564,191681,,,,
23224,157053,37561,191655,,,,
23235,157034,37556,191657,,,,
23245,157071,37550,191664,,,,
23255,157036,37547,191638,,,,
23265,157050,37546,191618,,,,
23275,157034,37548,191626,,,,
23285,157030,37551,191628,,,,
23294,157026,37520,191607,,,,
23304,157041,37533,191628,,,,
23315,157051,37522,191620,,,,
23325,157041,37530,191632,,,,
23334,157033,37520,191607,,,,
23344,157037,37527,191610,,,,
23355,157042,37519,191586,,,,
23365,157030,37523,191588,,,,
23375,157005,37523,191593,,,,
23385,157023,37523,191585,,,,
23395,157020,37529,191574,,,,
23405,157024,37529,191598,,,,
23415,157024,37513,191583,,,,
23424,157022,37520,191558,,,,
23434,157006,37526,191555,,,,
23444,157020,37536,191573,,,,
23455,157006,37528,191582,,,,
23464,157010,37530,191563,,,,
23474,157016,37527,191559,,,,
23484,157014,37526,191573,,,,
23495,157005,37530,191567,,,,
23504,157002,37521,191535,,,,
23515,157030,37522,191520,,,,
23525,157021,37521,191506,,,,
23535,156981,37521,191541,,,,
23544,157015,37521,191525,,,,
23554,157021,37519,191514,,,,
23564,157019,37518,191528,,,,
23575,157016,37520,191519,,,,
23584,156998,37525,191509,,,,
23594,157012,37537,191504,,,,
23604,156990,37517,191505,,,,
23615,157001,37517,191491,,,,
23625,157003,37518,191501,,,,
23634,157008,37523,191503,,,,
23644,157019,37524,191509,,,,
23654,157021,37521,191505,,,,
23664,157000,37530,191511,,,,
23674,157006,37521,191489,,,,
23685,156995,37527,191468,,,,
23695,156981,37535,191436,,,,
23705,156961,37541,191435,,,,
23714,156933,37532,191433,,,,
23724,156954,37526,191416,,,,
23734,156949,37536,191425,,,,
23745,156971,37535,191415,,,,
23753,156949,37539,191378,,,,
23764,156956,37543,191396,,,,
23775,156950,37544,191408,,,,
23785,156956,37541,191412,,,,
23794,156965,37539,191425,,,,
23804,156998,37545,191449,,,,
23814,157010,37542,191464,,,,
23824,156998,37555,191477,,,,
23834,157018,37527,191495,,,,
23844,157040,37542,191517,,,,
23854,157065,37534,191501,,,,
23865,157061,37536,191532,,,,
23874,157059,37549,191514,,,,
23884,157058,37546,191520,,,,
23895,157080,37559,191505,,,,
23905,157077,37562,191523,,,,
23915,157063,37569,191530,,,,
23924,157055,37557,191503,,,,
23934,157055,37582,191530,,,,
23944,157078,37564,191523,,,,
23955,157057,37572,191542,,,,
23964,157087,37580,191534,,,,
23974,157083,37576,191542,,,,
23984,157107,37584,191548,,,,
23995,157120,37586,191570,,,,
24004,157129,37579,191566,,,,
24013,157139,37570,191574,,,,
24024,157151,37570,191581,,,,
24035,157144,37570,191576,,,,
24044,157151,37554,191608,,,,
24054,157162,37546,191596,,,,
24064,157164,37549,191595,,,,
24074,157169,37531,191610,,,,
24083,157166,37531,191587,,,,
24094,157166,37538,191603,,,,
24104,157155,37523,191618,,,,
24114,157181,37521,191596,,,,
24124,157177,37509,191587,,,,
24134,157184,37511,191586,,,,
24144,157195,37513,191602,,,,
24154,157184,37508,191594,,,,
24164,157191,37514,191590,,,,
24173,157180,37521,191613,,,,
24184,157183,37518,191607,,,,
24194,157190,37505,191595,,,,
24205,157200,37509,191586,,,,
24214,157207,37500,191588,,,,
24224,157210,37511,191583,,,,
24234,157199,37513,191609,,,,
24244,157223,37511,191589,,,,
24254,157215,37507,191603,,,,
24264,157210,37505,191584,,,,
24274,157220,37510,191580,,,,
24284,157242,37511,191603,,,,
24294,157222,37510,191611,,,,
24304,157212,37518,191620,,,,
24314,157238,37515,191611,,,,
24324,157231,37526,191598,,,,
24333,157229,37518,191625,,,,
24344,157276,37497,191625,,,,
24354,157262,37531,191635,,,,
24364,157264,37513,191637,,,,
24374,157271,37526,191651,,,,
24383,157272,37525,191616,,,,
24394,157259,37506,191639,,,,
24404,157263,37514,191610,,,,
24414,157249,37514,191625,,,,
24424,157279,37516,191635,,,,
24434,157279,37511,191621,,,,
24444,157271,37530,191620,,,,
24454,157276,37521,191625,,,,
24463,157271,37544,191630,,,,
24473,157254,37535,191631,,,,
24483,157262,37529,191631,,,,
24494,157292,37538,191641,,,,
24504,157273,37539,191648,,,,
24514,157289,37543,191639,,,,
24524,157301,37544,191625,,,,
24534,157280,37550,191660,,,,
24543,157291,37546,191665,,,,
24553,157295,37563,191656,,,,
24563,157313,37539,191651,,,,
24574,157298,37561,191662,,,,
24583,157299,37559,191646,,,,
24593,157288,37558,191661,,,,
24604,157293,37556,191645,,,,
24613,157293,37567,191641,,,,
24624,157323,37541,191644,,,,
24633,157285,37565,191639,,,,
24644,157300,37559,191644,,,,
24654,157288,37575,191608,,,,
24664,157294,37569,191604,,,,
24673,157284,37578,191647,,,,
24683,157277,37585,191634,,,,
24694,157307,37585,191632,,,,
24704,157298,37583,191658,,,,
24713,157318,37592,191650,,,,
24723,157300,37585,191666,,,,
24733,157324,37577,191646,,,,
24744,157305,37586,191656,,,,
24753,157304,37588,191667,,,,
24764,157303,37591,191661,,,,
24773,157312,37593,191651,,,,
24784,157313,37587,191638,,,,
24793,157309,37591,191650,,,,
24803,157308,37610,191658,,,,
24814,157310,37597,191652,,,,
24824,157310,37604,191675,,,,
24833,157322,37591,191662,,,,
24843,157328,37577,191675,,,,
24853,157343,37599,191674,,,,
24863,157344,37605,191692,,,,
24874,157352,37597,191704,,,,
24883,157358,37580,191703,,,,
24893,157364,37591,191705,,,,
24904,157347,37570,191725,,,,
24914,157362,37566,191707,,,,
24923,157378,37563,191697,,,,
24934,157345,37562,191698,,,,
24944,157363,37539,191684,,,,
24954,157349,37560,191714,,,,
24963,157360,37541,191699,,,,
24973,157332,37541,191702,,,,
24983,157352,37541,191701,,,,
24994,157342,37545,191707,,,,
25003,157361,37533,191710,,,,
25013,157335,37541,191707,,,,
25023,157370,37528,191693,,,,
25033,157361,37538,191728,,,,
25043,157354,37522,191700,,,,
25052,157372,37539,191720,,,,
25063,157348,37531,191713,,,,
25074,157349,37540,191730,,,,
25083,157354,37529,191730,,,,
25093,157351,37527,191724,,,,
25103,157360,37539,191721,,,,
25113,157346,37552,191700,,,,
25123,157328,37537,191720,,,,
25133,157342,37538,191717,,,,
25143,157354,37535,191729,,,,
25153,157337,37536,191718,,,,
25163,157323,37554,191707,,,,
25173,157328,37535,191731,,,,
25183,157328,37551,191731,,,,
25193,157309,37549,191754,,,,
25204,157287,37546,191750,,,,
25213,157308,37544,191717,,,,
25223,157303,37547,191720,,,,
25233,157300,37551,191723,,,,
